t,signal,gamma
0.0,(0.9999999999999996+4.29391494149306e-16j),0.005
0.0001,(0.9999905842001576-0.0005722733122355537j),0.005
0.0002,(0.9999808409827797-0.0011445358537293046j),0.005
0.00030000000000000003,(0.9999707703571037-0.0017167874372103298j),0.005
0.0004,(0.9999603723324916-0.0022890278754170846j),0.005
0.0005,(0.9999496469183957-0.0028612569810944114j),0.005
0.0006000000000000001,(0.9999385941243912-0.0034334745669936185j),0.005
0.0007,(0.9999272139601556-0.004005680445874464j),0.005
0.0008,(0.9999155064354637-0.004577874430502948j),0.005
0.0009000000000000001,(0.9999034715602207-0.005150056333653196j),0.005
0.001,(0.9998911093444047-0.005722225968105951j),0.005
0.0011,(0.9998784197981289-0.0062943831466500885j),0.005
0.0012000000000000001,(0.9998654029316066-0.006866527682081907j),0.005
0.0013000000000000002,(0.9998520587551533-0.007438659387205563j),0.005
0.0014,(0.9998383872791918-0.008010778074832052j),0.005
0.0015,(0.9998243885142567-0.008582883557780542j),0.005
0.0016,(0.9998100624709887-0.00915497564887802j),0.005
0.0017000000000000001,(0.9997954091601348-0.009727054160959729j),0.005
0.0018000000000000002,(0.9997804285925422-0.010299118906868467j),0.005
0.0019,(0.9997651207791732-0.010871169699454694j),0.005
0.002,(0.9997494857310983-0.011443206351577187j),0.005
0.0021000000000000003,(0.9997335234594904-0.012015228676102895j),0.005
0.0022,(0.9997172339756288-0.012587236485907509j),0.005
0.0023,(0.9997006172909034-0.013159229593873093j),0.005
0.0024000000000000002,(0.9996836734168092-0.013731207812892034j),0.005
0.0025,(0.9996664023649472-0.014303170955863592j),0.005
0.0026000000000000003,(0.9996488041470295-0.014875118835697j),0.005
0.0027,(0.9996308787748688-0.015447051265307848j),0.005
0.0028,(0.9996126262603926-0.01601896805762249j),0.005
0.0029000000000000002,(0.9995940466156215-0.016590869025573406j),0.005
0.003,(0.9995751398527026-0.01716275398210458j),0.005
0.0031000000000000003,(0.999555905983874-0.01773462274016607j),0.005
0.0032,(0.9995363450214907-0.018306475112718584j),0.005
0.0033,(0.9995164569780004-0.018878310912730144j),0.005
0.0034000000000000002,(0.9994962418659851-0.01945012995317871j),0.005
0.0035,(0.999475699698102-0.020021932047051334j),0.005
0.0036000000000000003,(0.9994548304871326-0.020593717007343026j),0.005
0.0037,(0.9994336342459631-0.02116548464705903j),0.005
0.0038,(0.9994121109875909-0.021737234779212314j),0.005
0.0039000000000000003,(0.9993902607251046-0.022308967216826944j),0.005
0.004,(0.9993680834717168-0.02288068177293467j),0.005
0.0041,(0.9993455792407454-0.023452378260576782j),0.005
0.004200000000000001,(0.9993227480455963-0.02402405649280538j),0.005
0.0043,(0.9992995898998085-0.02459571628267951j),0.005
0.0044,(0.9992761048170077-0.025167357443269874j),0.005
0.0045000000000000005,(0.9992522928109429-0.025738979787656092j),0.005
0.0046,(0.9992281538954483-0.02631058312892667j),0.005
0.0047,(0.9992036880844927-0.0268821672801805j),0.005
0.0048000000000000004,(0.999178895392123-0.027453732054526135j),0.005
0.0049,(0.9991537758325147-0.028025277265082676j),0.005
0.005,(0.9991283294199435-0.02859680272497691j),0.005
0.0051,(0.9991025561687876-0.029168308247348115j),0.005
0.005200000000000001,(0.9990764560935358-0.02973979364534376j),0.005
0.0053,(0.9990500292087814-0.030311258732122j),0.005
0.0054,(0.9990232755292288-0.03088270332085176j),0.005
0.0055000000000000005,(0.9989961950696835-0.03145412722471095j),0.005
0.0056,(0.9989687878450623-0.03202553025688823j),0.005
0.0057,(0.9989410538703888-0.032596912230582586j),0.005
0.0058000000000000005,(0.9989129931607881-0.03316827295900369j),0.005
0.0059,(0.9988846057314957-0.03373961225537072j),0.005
0.006,(0.9988558915978595-0.03431092993291377j),0.005
0.0061,(0.9988268507753228-0.034882225804874566j),0.005
0.006200000000000001,(0.9987974832794465-0.03545349968450383j),0.005
0.0063,(0.9987677891258837-0.03602475138506316j),0.005
0.0064,(0.9987377683304132-0.036595980719826435j),0.005
0.006500000000000001,(0.9987074209089065-0.03716718750207548j),0.005
0.0066,(0.9986767468773525-0.03773837154510611j),0.005
0.0067,(0.9986457462518281-0.03830953266222275j),0.005
0.0068000000000000005,(0.9986144190485385-0.0388806706667419j),0.005
0.006900000000000001,(0.9985827652837834-0.039451785371991004j),0.005
0.007,(0.9985507849739708-0.04002287659130759j),0.005
0.0071,(0.9985184781356192-0.04059394413804243j),0.005
0.007200000000000001,(0.9984858447853534-0.04116498782555507j),0.005
0.0073,(0.9984528849398978-0.041736007467217805j),0.005
0.0074,(0.9984195986160898-0.0423070028764141j),0.005
0.007500000000000001,(0.9983859858308755-0.04287797386653854j),0.005
0.0076,(0.9983520466013012-0.04344892025099664j),0.005
0.0077,(0.9983177809445223-0.04401984184320705j),0.005
0.0078000000000000005,(0.9982831888778023-0.044590738456598285j),0.005
0.0079,(0.99824827041851-0.045161609904611114j),0.005
0.008,(0.9982130255841197-0.04573245600069832j),0.005
0.0081,(0.9981774543922153-0.04630327655832469j),0.005
0.0082,(0.9981415568604871-0.04687407139096558j),0.005
0.0083,(0.998105333006727-0.04744484031210925j),0.005
0.008400000000000001,(0.99806878284884-0.04801558313525511j),0.005
0.0085,(0.9980319064048336-0.04858629967391578j),0.005
0.0086,(0.9979947036928238-0.04915698974161535j),0.005
