t,signal,gamma
0.0,(0.9999999999999993-4.3449613820593404e-17j),0.002
0.0001,(0.9999957529834625-0.0006691094856440407j),0.002
0.0002,(0.9999910582093329-0.001338213260041312j),0.002
0.00030000000000000003,(0.999985915683352-0.0020073110235700204j),0.002
0.0004,(0.9999803254114656-0.002676402476614473j),0.002
0.0005,(0.9999742873998175-0.003345487319564392j),0.002
0.0006000000000000001,(0.9999678016547419-0.004014565252814754j),0.002
0.0007,(0.9999608681827882-0.004683635976765805j),0.002
0.0008,(0.9999534869906981-0.005352699191823907j),0.002
0.0009000000000000001,(0.9999456580854145-0.006021754598401148j),0.002
0.001,(0.9999373814740817-0.006690801896915021j),0.002
0.0011,(0.9999286571640428-0.007359840787789429j),0.002
0.0012000000000000001,(0.9999194851628441-0.008028870971455028j),0.002
0.0013000000000000002,(0.9999098654782342-0.008697892148347937j),0.002
0.0014,(0.9998997981181553-0.009366904018910568j),0.002
0.0015,(0.9998892830907546-0.01003590628359297j),0.002
0.0016,(0.9998783204043789-0.010704898642851353j),0.002
0.0017000000000000001,(0.9998669100675791-0.01137388079714894j),0.002
0.0018000000000000002,(0.9998550520890922-0.01204285244695594j),0.002
0.0019,(0.9998427464778769-0.012711813292749527j),0.002
0.002,(0.9998299932430805-0.01338076303501435j),0.002
0.0021000000000000003,(0.9998167923940473-0.014049701374242355j),0.002
0.0022,(0.9998031439403308-0.014718628010932967j),0.002
0.0023,(0.999789047891675-0.015387542645593564j),0.002
0.0024000000000000002,(0.9997745042580368-0.016056444978739016j),0.002
0.0025,(0.9997595130495598-0.016725334710892215j),0.002
0.0026000000000000003,(0.9997440742766053-0.01739421154258431j),0.002
0.0027,(0.999728187949709-0.01806307517435437j),0.002
0.0028,(0.9997118540796353-0.018731925306750073j),0.002
0.0029000000000000002,(0.9996950726773298-0.019400761640327457j),0.002
0.003,(0.9996778437539456-0.020069583875651095j),0.002
0.0031000000000000003,(0.9996601673208366-0.02073839171329455j),0.002
0.0032,(0.9996420433895515-0.021407184853840015j),0.002
0.0033,(0.9996234719718554-0.022075962997878812j),0.002
0.0034000000000000002,(0.9996044530796871-0.02274472584601139j),0.002
0.0035,(0.9995849867252069-0.02341347309884742j),0.002
0.0036000000000000003,(0.9995650729207718-0.02408220445700624j),0.002
0.0037,(0.9995447116789248-0.024750919621116408j),0.002
0.0038,(0.9995239030124371-0.025419618291816257j),0.002
0.0039000000000000003,(0.999502646934252-0.026088300169754237j),0.002
0.004,(0.9994809434575311-0.026756964955588235j),0.002
0.0041,(0.9994587925956221-0.027425612349986705j),0.002
0.004200000000000001,(0.999436194362089-0.028094242053628156j),0.002
0.0043,(0.9994131487706803-0.028762853767201103j),0.002
0.0044,(0.999389655835363-0.029431447191405155j),0.002
0.0045000000000000005,(0.9993657155702782-0.030100022026950217j),0.002
0.0046,(0.9993413279897976-0.030768577974556958j),0.002
0.0047,(0.9993164931084696-0.03143711473495684j),0.002
0.0048000000000000004,(0.9992912109410527-0.032105632008892666j),0.002
0.0049,(0.9992654815025035-0.03277412949711812j),0.002
0.005,(0.9992393048079838-0.03344260690039819j),0.002
0.0051,(0.9992126808728454-0.03411106391950952j),0.002
0.005200000000000001,(0.9991856097126558-0.034779500255240084j),0.002
0.0053,(0.9991580913431587-0.03544791560838961j),0.002
0.0054,(0.9991301257803217-0.03611630967976969j),0.002
0.0055000000000000005,(0.9991017130403068-0.03678468217020389j),0.002
0.0056,(0.999072853139462-0.03745303278052796j),0.002
0.0057,(0.9990435460943545-0.038121361211589475j),0.002
0.0058000000000000005,(0.9990137919217392-0.03878966716424878j),0.002
0.0059,(0.9989835906385773-0.03945795033937876j),0.002
0.006,(0.9989529422620225-0.040126210437864754j),0.002
0.0061,(0.9989218468094396-0.040794447160604576j),0.002
0.006200000000000001,(0.9988903042983853-0.04146266020850956j),0.002
0.0063,(0.9988583147466192-0.04213084928250352j),0.002
0.0064,(0.9988258781721017-0.042799014083524024j),0.002
0.006500000000000001,(0.9987929945929921-0.043467154312521315j),0.002
0.0066,(0.9987596640276475-0.04413526967045944j),0.002
0.0067,(0.9987258864946269-0.04480335985831584j),0.002
0.0068000000000000005,(0.9986916620126989-0.04547142457708189j),0.002
0.006900000000000001,(0.9986569906008106-0.046139463527762756j),0.002
0.007,(0.9986218722781303-0.046807476411376954j),0.002
0.0071,(0.9985863070640068-0.04747546292895828j),0.002
0.007200000000000001,(0.9985502949780147-0.04814342278155376j),0.002
0.0073,(0.9985138360399022-0.04881135567022507j),0.002
0.0074,(0.9984769302696335-0.049479261296048696j),0.002
0.007500000000000001,(0.9984395776873654-0.05014713936011543j),0.002
0.0076,(0.9984017783134599-0.05081498956353088j),0.002
0.0077,(0.9983635321684746-0.05148281160741574j),0.002
0.0078000000000000005,(0.9983248392731704-0.05215060519290558j),0.002
0.0079,(0.9982856996485043-0.05281837002115117j),0.002
0.008,(0.99824611331564-0.053486105793318445j),0.002
0.0081,(0.9982060802959255-0.05415381221058923j),0.002
0.0082,(0.9981656006109326-0.05482148897416044j),0.002
0.0083,(0.9981246742824111-0.05548913578524493j),0.002
0.008400000000000001,(0.9980833013323218-0.05615675234507156j),0.002
0.0085,(0.9980414817828287-0.056824338354884624j),0.002
0.0086,(0.9979992156562826-0.05749189351594503j),0.002
0.008700000000000001,(0.9979565029752465-0.05815941752953002j),0.002
0.0088,(0.9979133437624713-0.0588269100969324j),0.002
0.0089,(0.9978697380409226-0.05949437091946243j),0.002
0.009000000000000001,(0.9978256858337562-0.060161799698446684j),0.002
0.0091,(0.9977811871643283-0.06082919613522823j),0.002
0.0092,(0.997736242056191-0.06149655993116762j),0.002
0.009300000000000001,(0.9976908505331076-0.06216389078764179j),0.002
0.0094,(0.9976450126190323-0.06283118840604522j),0.002
0.0095,(0.9975987283381228-0.06349845248778965j),0.002
0.009600000000000001,(0.9975519977147322-0.06416568273430456j),0.002
0.0097,(0.9975048207734182-0.06483287884703645j),0.002
0.0098,(0.9974571975389368-0.06550004052744969j),0.002
0.0099,(0.9974091280362385-0.0661671674770269j),0.002
0.01,(0.9973606122904837-0.06683425939726839j),0.002
0.010100000000000001,(0.9973116503270253-0.06750131598969245j),0.002
0.0102,(0.9972622421714161-0.06816833695583571j),0.002
0.0103,(0.9972123878494047-0.06883532199725327j),0.002
0.010400000000000001,(0.997162087386952-0.06950227081551895j),0.002
0.0105,(0.9971113408102106-0.07016918311222452j),0.002
0.0106,(0.9970601481455277-0.07083605858898137j),0.002
0.010700000000000001,(0.9970085094194596-0.07150289694741897j),0.002
0.0108,(0.9969564246587541-0.07216969788918698j),0.002
0.0109,(0.9969038938903679-0.072836461115953j),0.002
0.011000000000000001,(0.9968509171414431-0.07350318632940449j),0.002
0.0111,(0.9967974944393371-0.07416987323124859j),0.002
0.0112,(0.9967436258116001-0.07483652152321191j),0.002
0.011300000000000001,(0.9966893112859748-0.07550313090704022j),0.002
0.0114,(0.9966345508904091-0.07616970108449977j),0.002
0.0115,(0.9965793446530631-0.07683623175737665j),0.002
0.011600000000000001,(0.9965236926022711-0.07750272262747715j),0.002
0.0117,(0.996467594766585-0.07816917339662766j),0.002
0.0118,(0.996411051174753-0.07883558376667439j),0.002
0.0119,(0.996354061855719-0.0795019534394853j),0.002
0.012,(0.9962966268386264-0.08016828211694824j),0.002
0.012100000000000001,(0.9962387461528193-0.08083456950097151j),0.002
0.0122,(0.9961804198278505-0.0815008152934852j),0.002
0.0123,(0.9961216478934514-0.08216701919643978j),0.002
0.012400000000000001,(0.9960624303795688-0.08283318091180737j),0.002
0.0125,(0.996002767316347-0.08349930014158084j),0.002
0.0126,(0.9959426587341264-0.08416537658777529j),0.002
0.012700000000000001,(0.9958821046634445-0.0848314099524263j),0.002
0.0128,(0.9958211051350416-0.08549739993759234j),0.002
0.0129,(0.9957596601798605-0.0861633462453532j),0.002
0.013000000000000001,(0.9956977698290345-0.08682924857781034j),0.002
0.0131,(0.9956354341139062-0.08749510663708782j),0.002
0.0132,(0.9955726530660078-0.08816092012533198j),0.002
0.013300000000000001,(0.9955094267170767-0.08882668874471092j),0.002
0.0134,(0.9954457550990438-0.0894924121974162j),0.002
0.0135,(0.9953816382440553-0.09015809018566089j),0.002
0.013600000000000001,(0.9953170761844305-0.0908237224116819j),0.002
0.0137,(0.9952520689527057-0.09148930857773815j),0.002
0.013800000000000002,(0.99518661658162-0.09215484838611261j),0.002
0.013900000000000001,(0.9951207191040977-0.09282034153911105j),0.002
0.014,(0.995054376553267-0.09348578773906163j),0.002
0.014100000000000001,(0.9949875889624631-0.09415118668831711j),0.002
0.0142,(0.9949203563652016-0.09481653808925311j),0.002
0.0143,(0.9948526787952224-0.09548184164427032j),0.002
0.014400000000000001,(0.9947845562864457-0.09614709705579072j),0.002
0.0145,(0.9947159888729961-0.09681230402626305j),0.002
0.0146,(0.994646976589203-0.09747746225815877j),0.002
0.014700000000000001,(0.9945775194695783-0.09814257145397294j),0.002
0.0148,(0.9945076175488536-0.09880763131622666j),0.002
0.0149,(0.9944372708619408-0.09947264154746427j),0.002
0.015000000000000001,(0.9943664794439705-0.10013760185025496j),0.002
0.0151,(0.9942952433302512-0.10080251192719314j),0.002
0.0152,(0.9942235625563035-0.10146737148089793j),0.002
0.015300000000000001,(0.9941514371578464-0.10213218021401334j),0.002
0.0154,(0.9940788671707924-0.10279693782920872j),0.002
0.0155,(0.9940058526312551-0.10346164402917908j),0.002
0.015600000000000001,(0.9939323935755457-0.10412629851664308j),0.002
0.015700000000000002,(0.9938584900401868-0.10479090099434805j),0.002
0.0158,(0.9937841420618676-0.10545545116506433j),0.002
0.0159,(0.9937093496775193-0.10611994873158981j),0.002
0.016,(0.9936341129242319-0.10678439339674675j),0.002
0.0161,(0.9935584318393198-0.10744878486338454j),0.002
0.0162,(0.9934823064602909-0.10811312283437909j),0.002
0.016300000000000002,(0.9934057368248442-0.10877740701263222j),0.002
0.0164,(0.9933287229708817-0.10944163710107259j),0.002
0.0165,(0.9932512649365105-0.11010581280265402j),0.002
0.0166,(0.9931733627600225-0.11076993382035916j),0.002
0.0167,(0.9930950164799207-0.11143399985719689j),0.002
0.016800000000000002,(0.9930162261349031-0.11209801061620282j),0.002
0.016900000000000002,(0.9929369917638591-0.11276196580043955j),0.002
0.017,(0.9928573134058917-0.11342586511299729j),0.002
0.0171,(0.9927771911002803-0.11408970825699381j),0.002
0.0172,(0.9926966248865314-0.11475349493557437j),0.002
0.0173,(0.9926156148043286-0.1154172248519119j),0.002
0.017400000000000002,(0.9925341608935496-0.116080897709207j),0.002
0.0175,(0.9924522631942957-0.11674451321068835j),0.002
0.0176,(0.9923699217468448-0.1174080710596125j),0.002
0.0177,(0.9922871365916827-0.11807157095926506j),0.002
0.0178,(0.9922039077694896-0.1187350126129594j),0.002
0.0179,(0.9921202353211428-0.11939839572403638j),0.002
0.018000000000000002,(0.9920361192877233-0.12006171999586827j),0.002
0.0181,(0.9919515597105106-0.12072498513185227j),0.002
0.0182,(0.9918665566309766-0.12138819083541859j),0.002
0.0183,(0.991781110090792-0.12205133681002314j),0.002
0.0184,(0.9916952201318339-0.1227144227591526j),0.002
0.018500000000000003,(0.9916088867961708-0.1233774483863226j),0.002
0.018600000000000002,(0.9915221101260683-0.12404041339507839j),0.002
0.0187,(0.9914348901639952-0.12470331748899408j),0.002
0.0188,(0.9913472269526123-0.12536616037167478j),0.002
0.0189,(0.9912591205347882-0.12602894174675455j),0.002
0.019,(0.9911705709535811-0.12669166131789672j),0.002
0.019100000000000002,(0.9910815782522469-0.1273543187887959j),0.002
0.019200000000000002,(0.9909921424742477-0.12801691386317715j),0.002
0.0193,(0.990902263663234-0.12867944624479452j),0.002
0.0194,(0.99081194186306-0.12934191563743327j),0.002
0.0195,(0.9907211771177813-0.13000432174490933j),0.002
0.0196,(0.9906299694716406-0.13066666427106974j),0.002
0.019700000000000002,(0.9905383189690898-0.13132894291979158j),0.002
0.0198,(0.9904462256547698-0.13199115739498338j),0.002
0.0199,(0.9903536895735314-0.13265330740058487j),0.002
0.02,(0.9902607107704091-0.13331539264056672j),0.002
0.0201,(0.9901672892906409-0.13397741281893266j),0.002
0.020200000000000003,(0.9900734251796699-0.13463936763971432j),0.002
0.020300000000000002,(0.9899791184831278-0.13530125680697905j),0.002
0.0204,(0.9898843692468429-0.13596308002482352j),0.002
0.0205,(0.989789177516852-0.13662483699737626j),0.002
0.0206,(0.989693543339381-0.13728652742880065j),0.002
0.0207,(0.9895974667608569-0.1379481510232886j),0.002
0.020800000000000003,(0.9895009478279033-0.13860970748506687j),0.002
0.020900000000000002,(0.9894039865873409-0.13927119651839343j),0.002
0.021,(0.9893065830861867-0.1399326178275596j),0.002
0.0211,(0.9892087373716575-0.14059397111688926j),0.002
0.0212,(0.9891104494911788-0.14125525609073847j),0.002
0.0213,(0.9890117194923501-0.14191647245349717j),0.002
0.021400000000000002,(0.9889125474229814-0.14257761990958795j),0.002
0.021500000000000002,(0.988812933331094-0.14323869816346652j),0.002
0.0216,(0.9887128772648708-0.14389970691962317j),0.002
0.0217,(0.9886123792727373-0.1445606458825801j),0.002
0.0218,(0.9885114394032782-0.14522151475689415j),0.002
0.0219,(0.9884100577053005-0.14588231324715611j),0.002
0.022000000000000002,(0.9883082342277923-0.1465430410579894j),0.002
0.0221,(0.9882059690199458-0.14720369789405247j),0.002
0.0222,(0.988103262131158-0.14786428346003874j),0.002
0.0223,(0.988000113611013-0.14852479746067368j),0.002
0.0224,(0.9878965235092918-0.14918523960071997j),0.002
0.022500000000000003,(0.9877924918759827-0.1498456095849725j),0.002
0.022600000000000002,(0.9876880187612612-0.15050590711826228j),0.002
0.0227,(0.9875831042155004-0.15116613190545497j),0.002
0.0228,(0.987477748289289-0.15182628365145098j),0.002
0.0229,(0.9873719510333804-0.15248636206118507j),0.002
0.023,(0.9872657124987562-0.1531463668396283j),0.002
0.023100000000000002,(0.987159032736572-0.15380629769178836j),0.002
0.023200000000000002,(0.9870519117981996-0.1544661543227042j),0.002
0.0233,(0.9869443497351956-0.15512593643745498j),0.002
0.0234,(0.9868363465993144-0.1557856437411534j),0.002
