t,signal,gamma
0.0,(0.9999999999999966+3.8055496254241206e-17j),0.0005
0.0001,(0.9999998859528145+8.041574279835377e-05j),0.0005
0.0002,(0.9999997654393651+0.0001608314665438589j),0.0005
0.00030000000000000003,(0.999999638459639+0.0002412471707167451j),0.0005
0.0004,(0.9999995050136505+0.0003216628547966999j),0.0005
0.0005,(0.9999993651013965+0.00040207851826398646j),0.0005
0.0006000000000000001,(0.9999992187228784+0.0004824941605982445j),0.0005
0.0007,(0.9999990658781005+0.0005629097812800985j),0.0005
0.0008,(0.9999989065670619+0.000643325379789138j),0.0005
0.0009000000000000001,(0.9999987407897732+0.0007237409556055j),0.0005
0.001,(0.999998568546228+0.0008041565082091681j),0.0005
0.0011,(0.9999983898364302+0.0008845720370801728j),0.0005
0.0012000000000000001,(0.9999982046603839+0.0009649875416987056j),0.0005
0.0013000000000000002,(0.9999980130180958+0.0010454030215445362j),0.0005
0.0014,(0.9999978149095636+0.001125818476097878j),0.0005
0.0015,(0.9999976103347905+0.0012062339048386182j),0.0005
0.0016,(0.9999973992937831+0.0012866493072468514j),0.0005
0.0017000000000000001,(0.9999971817865393+0.0013670646828027864j),0.0005
0.0018000000000000002,(0.9999969578130675+0.001447480030985908j),0.0005
0.0019,(0.9999967273733633+0.0015278953512770418j),0.0005
0.002,(0.999996490467437+0.0016083106431556676j),0.0005
0.0021000000000000003,(0.9999962470952887+0.001688725906101646j),0.0005
0.0022,(0.9999959972569192+0.0017691411395956078j),0.0005
0.0023,(0.9999957409523339+0.0018495563431170574j),0.0005
0.0024000000000000002,(0.9999954781815404+0.001929971516146369j),0.0005
0.0025,(0.9999952089445371+0.0020103866581632403j),0.0005
0.0026000000000000003,(0.9999949332413214+0.002090801768647882j),0.0005
0.0027,(0.9999946510719075+0.002171216847080476j),0.0005
0.0028,(0.999994362436292+0.002251631892940789j),0.0005
0.0029000000000000002,(0.9999940673344805+0.0023320469057090047j),0.0005
0.003,(0.9999937657664776+0.0024124618848650778j),0.0005
0.0031000000000000003,(0.9999934577322825+0.0024928768298891953j),0.0005
0.0032,(0.9999931432319008+0.002573291740261163j),0.0005
0.0033,(0.999992822265341+0.002653706615461118j),0.0005
0.0034000000000000002,(0.9999924948325991+0.002734121454969125j),0.0005
0.0035,(0.9999921609336799+0.0028145362582650303j),0.0005
0.0036000000000000003,(0.9999918205685944+0.0028949510248289594j),0.0005
0.0037,(0.9999914737373384+0.0029753657541412236j),0.0005
0.0038,(0.9999911204399149+0.0030557804456816835j),0.0005
0.0039000000000000003,(0.999990760676338+0.0031361950989301775j),0.0005
0.004,(0.9999903944465991+0.0032166097133669645j),0.0005
0.0041,(0.9999900217507084+0.003297024288472035j),0.0005
0.004200000000000001,(0.9999896425886708+0.003377438823725024j),0.0005
0.0043,(0.9999892569604849+0.003457853318606712j),0.0005
0.0044,(0.9999888648661616+0.0035382677725965717j),0.0005
0.0045000000000000005,(0.9999884663056986+0.0036186821851747894j),0.0005
0.0046,(0.9999880612791031+0.003699096555821547j),0.0005
0.0047,(0.9999876497863811+0.0037795108840168253j),0.0005
0.0048000000000000004,(0.9999872318275336+0.003859925169240251j),0.0005
0.0049,(0.9999868074025654+0.0039403394109725765j),0.0005
0.005,(0.9999863765114819+0.004020753608693395j),0.0005
0.0051,(0.9999859391542868+0.004101167761882725j),0.0005
0.005200000000000001,(0.9999854953309849+0.004181581870020765j),0.0005
