t,signal,gamma
0.0,(0.9999999999999993-4.3449613820593404e-17j),0.02
0.0001,(0.9999595468644059-0.0006667607675969071j),0.02
0.0002,(0.9999186502113899-0.0013334673216921183j),0.02
0.00030000000000000003,(0.9998773100952578-0.0020001193683895483j),0.02
0.0004,(0.9998355265705132-0.0026667166138438976j),0.02
0.0005,(0.9997932996918603-0.0033332587642578098j),0.02
0.0006000000000000001,(0.9997506295141776-0.003999745525882493j),0.02
0.0007,(0.9997075160925578-0.004666176605017593j),0.02
0.0008,(0.9996639594822728-0.005332551708011725j),0.02
0.0009000000000000001,(0.9996199597387951-0.0059988705412625945j),0.02
0.001,(0.9995755169177906-0.006665132811216369j),0.02
0.0011,(0.9995306310751229-0.007331338224368318j),0.02
0.0012000000000000001,(0.9994853022668437-0.007997486487263982j),0.02
0.0013000000000000002,(0.9994395305491914-0.008663577306497403j),0.02
0.0014,(0.9993933159786081-0.009329610388711836j),0.02
0.0015,(0.9993466586117327-0.009995585440600908j),0.02
0.0016,(0.9992995585053829-0.010661502168908002j),0.02
0.0017000000000000001,(0.9992520157165895-0.011327360280426312j),0.02
0.0018000000000000002,(0.9992040303025561-0.011993159481998836j),0.02
0.0019,(0.9991556023206956-0.01265889948051919j),0.02
0.002,(0.9991067318286022-0.013324579982930716j),0.02
0.0021000000000000003,(0.9990574188840742-0.013990200696227586j),0.02
0.0022,(0.9990076635451002-0.014655761327454194j),0.02
0.0023,(0.9989574658698541-0.015321261583705835j),0.02
0.0024000000000000002,(0.998906825916705-0.01598670117212862j),0.02
0.0025,(0.998855743744231-0.016652079799919384j),0.02
0.0026000000000000003,(0.998804219411178-0.017317397174326194j),0.02
0.0027,(0.9987522529765092-0.017982653002648202j),0.02
0.0028,(0.9986998444993599-0.01864784699223577j),0.02
0.0029000000000000002,(0.9986469940390759-0.019312978850490884j),0.02
0.003,(0.9985937016551847-0.01997804828486701j),0.02
0.0031000000000000003,(0.9985399674074046-0.020643055002869216j),0.02
0.0032,(0.9984857913556594-0.021307998712054504j),0.02
0.0033,(0.9984311735600531-0.02197287912003168j),0.02
0.0034000000000000002,(0.9983761140808864-0.022637695934461702j),0.02
0.0035,(0.9983206129786656-0.02330244886305776j),0.02
0.0036000000000000003,(0.9982646703140614-0.023967137613585248j),0.02
0.0037,(0.9982082861479606-0.024631761893862104j),0.02
0.0038,(0.9981514605414369-0.025296321411758547j),0.02
0.0039000000000000003,(0.9980941935557512-0.025960815875197937j),0.02
0.004,(0.9980364852523623-0.02662524499215612j),0.02
0.0041,(0.9979783356929228-0.0272896084706622j),0.02
0.004200000000000001,(0.9979197449392689-0.027953906018797853j),0.02
0.0043,(0.997860713053438-0.028618137344698442j),0.02
0.0044,(0.9978012400976572-0.029282302156552455j),0.02
0.0045000000000000005,(0.9977413261343441-0.029946400162601916j),0.02
0.0046,(0.9976809712261037-0.030610431071142228j),0.02
0.0047,(0.9976201754357457-0.031274394590522586j),0.02
