t,signal,gamma
0.0,(0.999999999999999+4.161167937999366e-16j),0.002
0.0001,(0.9999942368383546+0.0008495476857176627j),0.002
0.0002,(0.9999877519806177+0.001699085579887556j),0.002
0.00030000000000000003,(0.9999805454392564+0.0025486130694554812j),0.002
0.0004,(0.9999726172272783+0.0033981295413799267j),0.002
0.0005,(0.9999639673581979+0.004247634382634452j),0.002
0.0006000000000000001,(0.9999545958460536+0.005097126980207558j),0.002
0.0007,(0.9999445027054088+0.0059466067211037055j),0.002
0.0008,(0.9999336879513419+0.006796072992341844j),0.002
0.0009000000000000001,(0.9999221515994514+0.007645525180958831j),0.002
0.001,(0.9999098936658664+0.008494962674007447j),0.002
0.0011,(0.9998969141672247+0.009344384858557217j),0.002
0.0012000000000000001,(0.9998832131206952+0.010193791121696778j),0.002
0.0013000000000000002,(0.9998687905439526+0.0110431808505318j),0.002
0.0014,(0.9998536464552082+0.011892553432187123j),0.002
0.0015,(0.9998377808731841+0.012741908253806179j),0.002
0.0016,(0.9998211938171331+0.01359124470255186j),0.002
0.0017000000000000001,(0.9998038853068076+0.01444056216560726j),0.002
0.0018000000000000002,(0.9997858553625072+0.015289860030175345j),0.002
0.0019,(0.9997671040050348+0.01613913768348023j),0.002
0.002,(0.9997476312557156+0.016988394512767076j),0.002
0.0021000000000000003,(0.9997274371363991+0.017837629905302688j),0.002
0.0022,(0.999706521669454+0.018686843248375683j),0.002
0.0023,(0.9996848848777745+0.019536033929297834j),0.002
0.0024000000000000002,(0.99966252678476+0.02038520133540365j),0.002
0.0025,(0.9996394474143453+0.02123434485405064j),0.002
0.0026000000000000003,(0.9996156467909786+0.022083463872620692j),0.002
0.0027,(0.999591124939634+0.022932557778519637j),0.002
0.0028,(0.999565881885804+0.02378162595917844j),0.002
0.0029000000000000002,(0.9995399176554863+0.024630667802052673j),0.002
0.003,(0.9995132322752238+0.025479682694624244j),0.002
0.0031000000000000003,(0.9994858257720628+0.026328670024400525j),0.002
0.0032,(0.9994576981735751+0.027177629178916023j),0.002
0.0033,(0.9994288495078583+0.028026559545731005j),0.002
0.0034000000000000002,(0.9993992798035137+0.02887546051243491j),0.002
0.0035,(0.9993689890896809+0.029724331466643314j),0.002
0.0036000000000000003,(0.9993379773960057+0.0305731717960013j),0.002
0.0037,(0.9993062447526644+0.031421980888181884j),0.002
0.0038,(0.9992737911903519+0.03227075813088759j),0.002
0.0039000000000000003,(0.999240616740274+0.03311950291185024j),0.002
0.004,(0.9992067214341654+0.03396821461883234j),0.002
0.0041,(0.9991721053042754+0.034816892639626375j),0.002
0.004200000000000001,(0.9991367683833775+0.03566553636205581j),0.002
0.0043,(0.9991007107047659+0.036514145173975734j),0.002
0.0044,(0.9990639323022494+0.0373627184632725j),0.002
0.0045000000000000005,(0.9990264332101582+0.038211255617865085j),0.002
0.0046,(0.9989882134633455+0.039059756025705154j),0.002
0.0047,(0.9989492730971808+0.03990821907477806j),0.002
0.0048000000000000004,(0.9989096121475515+0.0407566441531015j),0.002
0.0049,(0.9988692306508737+0.04160503064872777j),0.002
0.005,(0.9988281286440793+0.04245337794974403j),0.002
0.0051,(0.9987863061646104+0.04330168544427207j),0.002
0.005200000000000001,(0.9987437632504358+0.04414995252046892j),0.002
0.0053,(0.9987004999400563+0.04499817856652691j),0.002
0.0054,(0.9986565162724679+0.04584636297067567j),0.002
0.0055000000000000005,(0.9986118122871974+0.04669450512118106j),0.002
0.0056,(0.9985663880243009+0.04754260440634526j),0.002
0.0057,(0.9985202435243388+0.048390660214509294j),0.002
0.0058000000000000005,(0.9984733788284011+0.049238671934051396j),0.002
0.0059,(0.9984257939780878+0.05008663895338794j),0.002
0.006,(0.9983774890155326+0.05093456066097496j),0.002
0.0061,(0.9983284639833688+0.05178243644530756j),0.002
0.006200000000000001,(0.9982787189247647+0.05263026569492024j),0.002
0.0063,(0.9982282538834099+0.053478047798387746j),0.002
0.0064,(0.9981770689034914+0.054325782144326075j),0.002
0.006500000000000001,(0.9981251640297425+0.055173468121391844j),0.002
0.0066,(0.9980725393073946+0.05602110511828275j),0.002
0.0067,(0.9980191947822146+0.05686869252373929j),0.002
0.0068000000000000005,(0.9979651305004694+0.057716229726543763j),0.002
0.006900000000000001,(0.997910346508971+0.05856371611552144j),0.002
0.007,(0.9978548428550224+0.059411151079541424j),0.002
0.0071,(0.9977986195864649+0.06025853400751544j),0.002
0.007200000000000001,(0.9977416767516476+0.061105864288400195j),0.002
0.0073,(0.9976840143994471+0.061953141311196905j),0.002
0.0074,(0.9976256325792568+0.06280036446495181j),0.002
0.007500000000000001,(0.9975665313409787+0.0636475331387559j),0.002
0.0076,(0.9975067107350473+0.06449464672174723j),0.002
0.0077,(0.9974461708124096+0.06534170460310963j),0.002
0.0078000000000000005,(0.9973849116245328+0.06618870617207394j),0.002
0.0079,(0.9973229332233999+0.06703565081791774j),0.002
0.008,(0.9972602356615136+0.06788253792996685j),0.002
0.0081,(0.9971968189918939+0.06872936689759494j),0.002
