t,signal,gamma
0.0,(1.0000000000000007+6.870178356061223e-17j),0.002
0.0001,(0.9999962689850854-0.0005539529150822246j),0.002
0.0002,(0.9999922311611029-0.0011079017364731961j),0.002
0.00030000000000000003,(0.99998788653144-0.0016618462942520015j),0.002
0.0004,(0.9999832350995865-0.0022157864185001043j),0.002
0.0005,(0.9999782768691172-0.002769721939301588j),0.002
0.0006000000000000001,(0.9999730118437036-0.0033236526867433886j),0.002
0.0007,(0.9999674400271154-0.0038775784909145113j),0.002
0.0008,(0.9999615614232055-0.004431499181907135j),0.002
0.0009000000000000001,(0.9999553760359388-0.004985414589816212j),0.002
0.001,(0.9999488838693541-0.005539324544739404j),0.002
0.0011,(0.9999420849276058-0.00609322887677708j),0.002
0.0012000000000000001,(0.9999349792149204-0.006647127416032443j),0.002
0.0013000000000000002,(0.999927566735629-0.007201019992612111j),0.002
0.0014,(0.9999198474941655-0.007754906436625716j),0.002
0.0015,(0.9999118214950393-0.008308786578185333j),0.002
0.0016,(0.9999034887428684-0.008862660247406354j),0.002
0.0017000000000000001,(0.9998948492423554-0.009416527274407773j),0.002
0.0018000000000000002,(0.9998859029983085-0.009970387489311717j),0.002
0.0019,(0.9998766500156215-0.010524240722243354j),0.002
0.002,(0.9998670902992814-0.011078086803331423j),0.002
0.0021000000000000003,(0.9998572238543703-0.011631925562707897j),0.002
0.0022,(0.9998470506860673-0.012185756830508184j),0.002
0.0023,(0.9998365707996427-0.012739580436871387j),0.002
0.0024000000000000002,(0.9998257842004646-0.013293396211939618j),0.002
0.0025,(0.9998146908939953-0.013847203985859204j),0.002
0.0026000000000000003,(0.9998032908857831-0.014401003588779824j),0.002
0.0027,(0.9997915841814791-0.014954794850854922j),0.002
0.0028,(0.9997795707868236-0.015508577602241596j),0.002
0.0029000000000000002,(0.999767250707652-0.01606235167310078j),0.002
0.003,(0.9997546239498988-0.01661611689359725j),0.002
0.0031000000000000003,(0.9997416905195784-0.017169873093899952j),0.002
0.0032,(0.9997284504228241-0.01772362010418123j),0.002
0.0033,(0.999714903665832-0.01827735775461798j),0.002
0.0034000000000000002,(0.9997010502549161-0.018831085875390917j),0.002
0.0035,(0.9996868901964775-0.019384804296684943j),0.002
0.0036000000000000003,(0.9996724234970086-0.019938512848689076j),0.002
0.0037,(0.9996576501630974-0.020492211361596534j),0.002
