t,signal,gamma
0.0,(1.0000000000000004+5.571782727038788e-17j),0.02
0.0001,(0.9999652598145963-0.000552752360447206j),0.02
0.0002,(0.999930214909921-0.0011054660503019024j),0.02
0.00030000000000000003,(0.9998948653181134-0.0016581409022760054j),0.02
0.0004,(0.9998592110713905-0.0022107767491075007j),0.02
0.0005,(0.9998232522020705-0.0027633734235580376j),0.02
0.0006000000000000001,(0.9997869887425522-0.0033159307584127696j),0.02
0.0007,(0.999750420725339-0.0038684485864806453j),0.02
0.0008,(0.999713548183014-0.004420926740594516j),0.02
0.0009000000000000001,(0.9996763711482607-0.004973365053611187j),0.02
0.001,(0.9996388896538517-0.005525763358411738j),0.02
0.0011,(0.999601103732643-0.00607812148790069j),0.02
0.0012000000000000001,(0.9995630134175876-0.00663043927500683j),0.02
0.0013000000000000002,(0.9995246187417371-0.007182716552683012j),0.02
0.0014,(0.9994859197382191-0.007734953153906611j),0.02
0.0015,(0.9994469164402661-0.008287148911679053j),0.02
0.0016,(0.9994076088811962-0.008839303659025535j),0.02
0.0017000000000000001,(0.9993679970944143-0.009391417228995882j),0.02
0.0018000000000000002,(0.9993280811134306-0.009943489454664643j),0.02
0.0019,(0.9992878609718282-0.01049552016913046j),0.02
0.002,(0.9992473367032901-0.011047509205516478j),0.02
0.0021000000000000003,(0.9992065083415967-0.011599456396970388j),0.02
0.0022,(0.9991653759206108-0.012151361576664448j),0.02
0.0023,(0.9991239394742906-0.012703224577795389j),0.02
0.0024000000000000002,(0.9990821990366785-0.013255045233584726j),0.02
0.0025,(0.999040154641915-0.01380682337727867j),0.02
0.0026000000000000003,(0.9989978063242373-0.014358558842148218j),0.02
0.0027,(0.9989551541179589-0.014910251461489004j),0.02
0.0028,(0.9989121980574907-0.01546190106862173j),0.02
0.0029000000000000002,(0.9988689381773384-0.01601350749689192j),0.02
0.003,(0.9988253745120962-0.01656507057967004j),0.02
0.0031000000000000003,(0.9987815070964474-0.017116590150351555j),0.02
0.0032,(0.9987373359651696-0.017668066042357027j),0.02
0.0033,(0.9986928611531282-0.018219498089132046j),0.02
0.0034000000000000002,(0.9986480826952858-0.01877088612414756j),0.02
0.0035,(0.9986030006266831-0.019322229980899358j),0.02
0.0036000000000000003,(0.9985576149824688-0.019873529492908847j),0.02
0.0037,(0.9985119257978587-0.02042478449372253j),0.02
0.0038,(0.9984659331081895-0.02097599481691239j),0.02
0.0039000000000000003,(0.9984196369488657-0.021527160296075633j),0.02
0.004,(0.9983730373553904-0.022078280764835072j),0.02
0.0041,(0.9983261343633613-0.02262935605683906j),0.02
0.004200000000000001,(0.9982789280084606-0.023180386005761274j),0.02
0.0043,(0.9982314183264628-0.023731370445301183j),0.02
0.0044,(0.9981836053532372-0.024282309209183804j),0.02
0.0045000000000000005,(0.9981354891247359-0.024833202131159925j),0.02
0.0046,(0.9980870696770084-0.025384049045005973j),0.02
0.0047,(0.9980383470461953-0.02593484978452443j),0.02
0.0048000000000000004,(0.9979893212685261-0.026485604183543256j),0.02
0.0049,(0.9979399923803133-0.02703631207591663j),0.02
0.005,(0.997890360417977-0.02758697329552442j),0.02
