t,signal,gamma
0.0,(1.0000000000000018+5.681219383824043e-16j),0.05
0.0001,(0.9999220760628186-0.0004997134972339404j),0.05
0.0002,(0.9998439086060422-0.0009993500239454823j),0.05
0.00030000000000000003,(0.9997654976869509-0.0014989094648058736j),0.05
0.0004,(0.9996868433629126-0.0019983917045274134j),0.05
0.0005,(0.999607945691328-0.0024977966278594953j),0.05
0.0006000000000000001,(0.9995288047296603-0.002997124119588314j),0.05
0.0007,(0.9994494205354225-0.0034963740645370537j),0.05
0.0008,(0.9993697931661746-0.003995546347566954j),0.05
0.0009000000000000001,(0.9992899226795441-0.004494640853575854j),0.05
0.001,(0.9992098091332053-0.004993657467499836j),0.05
0.0011,(0.9991294525848663-0.005492596074311479j),0.05
0.0012000000000000001,(0.9990488530923162-0.005991456559021483j),0.05
0.0013000000000000002,(0.9989680107133755-0.006490238806677154j),0.05
0.0014,(0.9988869255059335-0.006988942702364233j),0.05
0.0015,(0.9988055975279225-0.00748756813120539j),0.05
0.0016,(0.9987240268373218-0.007986114978360796j),0.05
0.0017000000000000001,(0.9986422134921827-0.008484583129028014j),0.05
0.0018000000000000002,(0.9985601575505901-0.008982972468442815j),0.05
0.0019,(0.9984778590706884-0.00948128288187797j),0.05
0.002,(0.998395318110675-0.009979514254644033j),0.05
0.0021000000000000003,(0.9983125347287936-0.010477666472088991j),0.05
0.0022,(0.9982295089833582-0.01097573941959885j),0.05
0.0023,(0.998146240932711-0.011473732982596926j),0.05
0.0024000000000000002,(0.9980627306352647-0.011971647046544296j),0.05
0.0025,(0.9979789781494776-0.012469481496939739j),0.05
0.0026000000000000003,(0.9978949835338572-0.01296723621931993j),0.05
0.0027,(0.9978107468469692-0.01346491109925918j),0.05
0.0028,(0.9977262681474299-0.013962506022369956j),0.05
0.0029000000000000002,(0.9976415474939029-0.014460020874301704j),0.05
0.003,(0.9975565849451131-0.014957455540742091j),0.05
0.0031000000000000003,(0.9974713805598284-0.015454809907417273j),0.05
0.0032,(0.9973859343968791-0.015952083860090255j),0.05
0.0033,(0.9973002465151335-0.016449277284562466j),0.05
0.0034000000000000002,(0.9972143169735272-0.016946390066673173j),0.05
0.0035,(0.9971281458310403-0.01744342209229981j),0.05
0.0036000000000000003,(0.9970417331467043-0.017940373247357307j),0.05
0.0037,(0.9969550789796003-0.018437243417798614j),0.05
0.0038,(0.9968681833888725-0.018934032489615484j),0.05
0.0039000000000000003,(0.9967810464337044-0.019430740348836753j),0.05
0.004,(0.9966936681733407-0.019927366881529802j),0.05
0.0041,(0.9966060486670737-0.02042391197379964j),0.05
0.004200000000000001,(0.9965181879742466-0.020920375511790067j),0.05
0.0043,(0.9964300861542555-0.021416757381682392j),0.05
0.0044,(0.9963417432665559-0.021913057469696323j),0.05
0.0045000000000000005,(0.9962531593706386-0.02240927566209014j),0.05
