t,signal,gamma
0.0,(0.9999999999999994+2.0626946331536722e-17j),0.01
0.0001,(0.9999663739053328+0.0010122518782397418j),0.01
0.0002,(0.9999317246138487+0.002024436158652447j),0.01
0.00030000000000000003,(0.9998960522279069+0.0030365518081179074j),0.01
0.0004,(0.9998593568509115+0.004048597793653j),0.01
0.0005,(0.9998216385873058+0.005060573082414175j),0.01
0.0006000000000000001,(0.9997828975425778+0.006072476641697754j),0.01
0.0007,(0.9997431338232559+0.007084307438939913j),0.01
0.0008,(0.9997023475369097+0.00809606444172113j),0.01
0.0009000000000000001,(0.9996605387921437+0.009107746617762109j),0.01
0.001,(0.9996177076986137+0.010119352934929883j),0.01
0.0011,(0.9995738543670074+0.011130882361236138j),0.01
0.0012000000000000001,(0.9995289789090648+0.012142333864839067j),0.01
0.0013000000000000002,(0.9994830814375477+0.013153706414043757j),0.01
0.0014,(0.9994361620662803+0.014164998977303802j),0.01
0.0015,(0.9993882209101058+0.015176210523222093j),0.01
0.0016,(0.9993392580849185+0.016187340020552065j),0.01
0.0017000000000000001,(0.9992892737076543+0.017198386438198508j),0.01
0.0018000000000000002,(0.9992382678962765+0.01820934874521914j),0.01
0.0019,(0.9991862407698077+0.01922022591082469j),0.01
0.002,(0.9991331924482842+0.02023101690438098j),0.01
0.0021000000000000003,(0.9990791230528061+0.021241720695409007j),0.01
0.0022,(0.9990240327054932+0.022252336253587572j),0.01
0.0023,(0.9989679215295103+0.023262862548751616j),0.01
0.0024000000000000002,(0.9989107896490659+0.024273298550896296j),0.01
0.0025,(0.9988526371893962+0.02528364323017583j),0.01
0.0026000000000000003,(0.9987934642767842+0.02629389555690605j),0.01
0.0027,(0.9987332710385483+0.027304054501563813j),0.01
0.0028,(0.9986720576030433+0.028314119034789746j),0.01
0.0029000000000000002,(0.9986098240996575+0.02932408812738829j),0.01
0.003,(0.9985465706588232+0.030333960750328785j),0.01
0.0031000000000000003,(0.9984822974120036+0.03134373587474669j),0.01
0.0032,(0.9984170044917045+0.03235341247194496j),0.01
0.0033,(0.9983506920314591+0.03336298951339453j),0.01
0.0034000000000000002,(0.9982833601658485+0.034372465970735386j),0.01
0.0035,(0.9982150090304841+0.03538184081577862j),0.01
0.0036000000000000003,(0.9981456387620117+0.03639111302050574j),0.01
0.0037,(0.9980752494981099+0.037400281557070855j),0.01
0.0038,(0.9980038413775044+0.03840934539780191j),0.01
0.0039000000000000003,(0.9979314145399376+0.039418303515200766j),0.01
0.004,(0.9978579691262123+0.040427154881945586j),0.01
0.0041,(0.9977835052781379+0.04143589847089004j),0.01
0.004200000000000001,(0.9977080231385853+0.042444533255066j),0.01
0.0043,(0.997631522851434+0.043453058207684234j),0.01
0.0044,(0.9975540045616168+0.0444614723021346j),0.01
0.0045000000000000005,(0.9974754684150958+0.045469774511988366j),0.01
0.0046,(0.9973959145588599+0.0464779638109973j),0.01
0.0047,(0.9973153431409413+0.0474860391730972j),0.01
0.0048000000000000004,(0.9972337543103944+0.048493999572407236j),0.01
0.0049,(0.9971511482173196+0.04950184398323165j),0.01
0.005,(0.9970675250128375+0.05050957138005991j),0.01
0.0051,(0.9969828848491132+0.05151718073756941j),0.01
0.005200000000000001,(0.9968972278793351+0.052524671030625095j),0.01
