t,signal,gamma
0.0,(1.0000000000000009+6.223320470066795e-17j),0.0005
0.0001,(0.9999978823386095+0.0010105580001527473j),0.0005
0.0002,(0.9999947434458313+0.0020211116957415585j),0.0005
0.00030000000000000003,(0.9999905833281948+0.0030316600547531753j),0.0005
0.0004,(0.9999854019932974+0.004042202045182854j),0.0005
0.0005,(0.9999791994497528+0.005052736635035666j),0.0005
0.0006000000000000001,(0.9999719757072287+0.006063262792328171j),0.0005
0.0007,(0.9999637307764331+0.007073779485087711j),0.0005
0.0008,(0.9999544646691277+0.008084285681356223j),0.0005
0.0009000000000000001,(0.9999441773980957+0.009094780349187521j),0.0005
0.001,(0.9999328689771814+0.01010526245665291j),0.0005
0.0011,(0.9999205394212582+0.011115730971838335j),0.0005
0.0012000000000000001,(0.9999071887462659+0.012126184862848045j),0.0005
0.0013000000000000002,(0.9998928169691605+0.013136623097804292j),0.0005
0.0014,(0.9998774241079528+0.014147044644848138j),0.0005
0.0015,(0.9998610101816957+0.015157448472141717j),0.0005
0.0016,(0.9998435752104796+0.016167833547868053j),0.0005
0.0017000000000000001,(0.9998251192154503+0.017178198840233385j),0.0005
0.0018000000000000002,(0.9998056422187772+0.018188543317466693j),0.0005
0.0019,(0.9997851442436897+0.019198865947821917j),0.0005
0.002,(0.9997636253144582+0.020209165699579403j),0.0005
0.0021000000000000003,(0.9997410854563762+0.021219441541045093j),0.0005
0.0022,(0.9997175246958068+0.022229692440553186j),0.0005
0.0023,(0.9996929430601387+0.023239917366466762j),0.0005
0.0024000000000000002,(0.9996673405778076+0.02425011528717903j),0.0005
0.0025,(0.9996407172782839+0.025260285171113655j),0.0005
0.0026000000000000003,(0.9996130731921022+0.02627042598672628j),0.0005
0.0027,(0.9995844083508132+0.027280536702506512j),0.0005
0.0028,(0.9995547227870258+0.028290616286976756j),0.0005
0.0029000000000000002,(0.9995240165343898+0.02930066370869571j),0.0005
0.003,(0.9994922896275906+0.0303106779362574j),0.0005
0.0031000000000000003,(0.9994595421023675+0.03132065793829383j),0.0005
0.0032,(0.9994257739954844+0.03233060268347439j),0.0005
0.0033,(0.9993909853447654+0.03334051114050916j),0.0005
0.0034000000000000002,(0.99935517618906+0.034350382278147726j),0.0005
0.0035,(0.9993183465682787+0.03536021506518109j),0.0005
0.0036000000000000003,(0.9992804965233522+0.03637000847044356j),0.0005
0.0037,(0.9992416260962745+0.037379761462812314j),0.0005
0.0038,(0.9992017353300728+0.03838947301120904j),0.0005
0.0039000000000000003,(0.9991608242688049+0.039399142084601824j),0.0005
0.004,(0.9991188929575914+0.04040876765200504j),0.0005
0.0041,(0.9990759414425759+0.041418348682481065j),0.0005
0.004200000000000001,(0.9990319697709572+0.042427884145140454j),0.0005
0.0043,(0.9989869779909691+0.043437373009144895j),0.0005
0.0044,(0.9989409661518879+0.04444681424370605j),0.0005
0.0045000000000000005,(0.9988939343040294+0.045456206818087645j),0.0005
0.0046,(0.9988458824987589+0.04646554970160715j),0.0005
