t,signal,gamma
0.0,(1.0000000000000056+2.6764011742518717e-14j),0.005
0.0001,(0.9999970766819711+0.00020437839549517102j),0.005
0.0002,(0.9999941115443788+0.0004087555754169141j),0.005
0.00030000000000000003,(0.9999911045875893+0.0006131315312491914j),0.005
0.0004,(0.999988055811982+0.0008175062544477363j),0.005
0.0005,(0.9999849652179256+0.0010218797364713115j),0.005
0.0006000000000000001,(0.9999818328057987+0.001226251968775954j),0.005
0.0007,(0.9999786585759792+0.0014306229428199333j),0.005
0.0008,(0.9999754425288419+0.0016349926500608721j),0.005
0.0009000000000000001,(0.9999721846647823+0.00183936108195603j),0.005
0.001,(0.9999688849841656+0.002043728229963813j),0.005
0.0011,(0.9999655434873902+0.0022480940855413405j),0.005
0.0012000000000000001,(0.9999621601748381+0.002452458640147001j),0.005
0.0013000000000000002,(0.9999587350468951+0.0026568218852391174j),0.005
0.0014,(0.9999552681039596+0.002861183812275429j),0.005
0.0015,(0.9999517593464157+0.003065544412714574j),0.005
0.0016,(0.9999482087746616+0.0032699036780148923j),0.005
0.0017000000000000001,(0.99994461638909+0.0034742615996352856j),0.005
0.0018000000000000002,(0.999940982190099+0.0036786181690333366j),0.005
0.0019,(0.9999373061780893+0.00388297337766822j),0.005
0.002,(0.9999335883534586+0.004087327216999625j),0.005
0.0021000000000000003,(0.9999298287166156+0.004291679678485949j),0.005
0.0022,(0.9999260272679555+0.004496030753586181j),0.005
0.0023,(0.9999221840078898+0.004700380433759071j),0.005
0.0024000000000000002,(0.9999182989368272+0.004904728710464396j),0.005
0.0025,(0.9999143720551753+0.005109075575161859j),0.005
0.0026000000000000003,(0.9999104033633426+0.005313421019310181j),0.005
0.0027,(0.9999063928617472+0.005517765034369107j),0.005
0.0028,(0.9999023405508011+0.005722107611799507j),0.005
0.0029000000000000002,(0.9998982464309222+0.005926448743059493j),0.005
0.003,(0.9998941105025255+0.0061307884196100644j),0.005
0.0031000000000000003,(0.9998899327660347+0.006335126632911115j),0.005
0.0032,(0.9998857132218696+0.0065394633744225395j),0.005
0.0033,(0.9998814518704557+0.006743798635605289j),0.005
0.0034000000000000002,(0.9998771487122159+0.006948132407918621j),0.005
0.0035,(0.999872803747576+0.007152464682823545j),0.005
0.0036000000000000003,(0.9998684169769679+0.0073567954517811795j),0.005
0.0037,(0.9998639884008224+0.007561124706251904j),0.005
0.0038,(0.9998595180195667+0.007765452437696363j),0.005
0.0039000000000000003,(0.9998550058336422+0.007969778637575482j),0.005
0.004,(0.999850451843478+0.008174103297350757j),0.005
0.0041,(0.9998458560495131+0.008378426408482905j),0.005
0.004200000000000001,(0.9998412184521897+0.008582747962433688j),0.005
0.0043,(0.999836539051945+0.008787067950663799j),0.005
0.0044,(0.9998318178492207+0.008991386364635756j),0.005
0.0045000000000000005,(0.9998270548444639+0.009195703195810633j),0.005
0.0046,(0.9998222500381262+0.009400018435650219j),0.005
0.0047,(0.9998174034306463+0.009604332075616423j),0.005
0.0048000000000000004,(0.999812515022478+0.009808644107170977j),0.005
0.0049,(0.9998075848140764+0.010012954521776422j),0.005
0.005,(0.9998026128058828+0.01021726331089496j),0.005
0.0051,(0.9997975989983654+0.010421570465988688j),0.005
0.005200000000000001,(0.9997925433919748+0.010625875978520317j),0.005
0.0053,(0.9997874459871654+0.010830179839952409j),0.005
0.0054,(0.9997823067844065+0.011034482041747277j),0.005
0.0055000000000000005,(0.9997771257841552+0.0112387825753683j),0.005
0.0056,(0.99977190298687+0.011443081432278245j),0.005
0.0057,(0.9997666383930225+0.01164737860393997j),0.005
0.0058000000000000005,(0.9997613320030817+0.01185167408181677j),0.005
0.0059,(0.9997559838175112+0.012055967857372472j),0.005
0.006,(0.9997505938367854+0.012260259922069415j),0.005
0.0061,(0.9997451620613773+0.012464550267372143j),0.005
0.006200000000000001,(0.9997396884917558+0.012668838884744082j),0.005
0.0063,(0.9997341731284007+0.012873125765648526j),0.005
0.0064,(0.9997286159717862+0.013077410901549926j),0.005
0.006500000000000001,(0.9997230170223953+0.013281694283913107j),0.005
0.0066,(0.999717376280709+0.013485975904200287j),0.005
0.0067,(0.999711693747208+0.013690255753877037j),0.005
0.0068000000000000005,(0.9997059694223799+0.013894533824407855j),0.005
0.006900000000000001,(0.9997002033067033+0.014098810107257002j),0.005
0.007,(0.9996943954006794+0.014303084593889204j),0.005
0.0071,(0.9996885457047869+0.014507357275769347j),0.005
0.007200000000000001,(0.9996826542195214+0.014711628144361603j),0.005
0.0073,(0.999676720945372+0.014915897191131946j),0.005
0.0074,(0.9996707458828431+0.015120164407545524j),0.005
0.007500000000000001,(0.9996647290324213+0.015324429785066547j),0.005
0.0076,(0.999658670394612+0.01552869331516216j),0.005
0.0077,(0.9996525699699144+0.015732954989296187j),0.005
0.0078000000000000005,(0.9996464277588255+0.015937214798935666j),0.005
0.0079,(0.9996402437618565+0.016141472735545937j),0.005
0.008,(0.9996340179795082+0.01634572879059231j),0.005
0.0081,(0.9996277504122882+0.016549982955542015j),0.005
0.0082,(0.9996214410607077+0.01675423522186088j),0.005
0.0083,(0.9996150899252746+0.016958485581014624j),0.005
