t,signal,gamma
0.0,(0.9999999999999885+1.3575363164326781e-15j),0.1
0.0001,(0.9999394890586049+0.00020547914637375486j),0.1
0.0002,(0.999878939898995+0.00041093338062601946j),0.1
0.00030000000000000003,(0.9998183525285603+0.0006163626964673j),0.1
0.0004,(0.9997577269547262+0.000821767087611143j),0.1
0.0005,(0.9996970631848958+0.001027146547773018j),0.1
0.0006000000000000001,(0.9996363612264889+0.0012325010706704857j),0.1
0.0007,(0.999575621086926+0.0014378306500226323j),0.1
0.0008,(0.9995148427736119+0.0016431352795510056j),0.1
0.0009000000000000001,(0.9994540262939695+0.0018484149529782528j),0.1
0.001,(0.9993931716554129+0.0020536696640289986j),0.1
0.0011,(0.999332278865366+0.0022588994064306534j),0.1
0.0012000000000000001,(0.9992713479312412+0.00246410417391113j),0.1
0.0013000000000000002,(0.9992103788604665+0.002669283960201634j),0.1
0.0014,(0.9991493716604527+0.0028744387590340518j),0.1
0.0015,(0.9990883263386335+0.0030795685641427607j),0.1
0.0016,(0.9990272429024201+0.003284673369263733j),0.1
0.0017000000000000001,(0.9989661213592409+0.003489753168135381j),0.1
0.0018000000000000002,(0.9989049617165179+0.0036948079544972664j),0.1
0.0019,(0.9988437639816712+0.0038998377220910217j),0.1
0.002,(0.9987825281621326+0.00410484246466065j),0.1
0.0021000000000000003,(0.998721254265324+0.004309822175951405j),0.1
0.0022,(0.9986599422986787+0.004514776849710752j),0.1
0.0023,(0.9985985922696158+0.004719706479688156j),0.1
0.0024000000000000002,(0.9985372041855655+0.0049246110596341194j),0.1
0.0025,(0.998475778053958+0.005129490583302358j),0.1
0.0026000000000000003,(0.9984143138822232+0.0053343450444472505j),0.1
0.0027,(0.9983528116777884+0.005539174436825884j),0.1
0.0028,(0.9982912714480878+0.005743978754196648j),0.1
0.0029000000000000002,(0.9982296932005527+0.005948757990320311j),0.1
0.003,(0.9981680769426144+0.0061535121389592485j),0.1
0.0031000000000000003,(0.9981064226817062+0.006358241193877403j),0.1
0.0032,(0.9980447304252681+0.0065629451488411j),0.1
0.0033,(0.9979830001807283+0.006767623997618333j),0.1
0.0034000000000000002,(0.9979212319555215+0.006972277733978988j),0.1
0.0035,(0.9978594257570907+0.00717690635169506j),0.1
0.0036000000000000003,(0.9977975815928637+0.0073815098445397j),0.1
0.0037,(0.997735699470287+0.0075860882062888215j),0.1
0.0038,(0.9976737793967946+0.007790641430719824j),0.1
0.0039000000000000003,(0.9976118213798298+0.00799516951161177j),0.1
0.004,(0.997549825426826+0.008199672442745849j),0.1
0.0041,(0.9974877915452285+0.008404150217905257j),0.1
0.004200000000000001,(0.9974257197424798+0.008608602830874744j),0.1
0.0043,(0.9973636100260184+0.008813030275440911j),0.1
0.0044,(0.9973014624032883+0.009017432545392477j),0.1
0.0045000000000000005,(0.9972392768817352+0.009221809634520404j),0.1
0.0046,(0.9971770534688051+0.00942616153661686j),0.1
0.0047,(0.9971147921719392+0.009630488245475669j),0.1
0.0048000000000000004,(0.9970524929985829+0.009834789754893587j),0.1
0.0049,(0.9969901559561894+0.010039066058668477j),0.1
0.005,(0.9969277810521974+0.01024331715059988j),0.1
0.0051,(0.9968653682940622+0.010447543024490238j),0.1
0.005200000000000001,(0.9968029176892286+0.010651743674142514j),0.1
0.0053,(0.996740429245147+0.010855919093362556j),0.1
0.0054,(0.9966779029692691+0.01106006927595793j),0.1
0.0055000000000000005,(0.9966153388690473+0.01126419421573761j),0.1
0.0056,(0.9965527369519342+0.011468293906513041j),0.1
0.0057,(0.996490097225374+0.011672368342097268j),0.1
0.0058000000000000005,(0.9964274196968246+0.01187641751630482j),0.1
0.0059,(0.9963647043737495+0.012080441422952927j),0.1
0.006,(0.9963019512635873+0.012284440055859946j),0.1
0.0061,(0.9962391603738049+0.012488413408846658j),0.1
0.006200000000000001,(0.9961763317118539+0.012692361475735206j),0.1
0.0063,(0.9961134652851941+0.012896284250350129j),0.1
0.0064,(0.9960505611012851+0.013100181726517448j),0.1
0.006500000000000001,(0.9959876191675774+0.013304053898065582j),0.1
0.0066,(0.9959246394915363+0.013507900758823839j),0.1
0.0067,(0.9958616220806181+0.01371172230262457j),0.1
