t,signal,gamma
0.0,(1-3.1773899917403314e-16j),0.005
0.0001,(0.999991905326978-0.0005158003090456544j),0.005
0.0002,(0.9999835449108343-0.0010315925772623085j),0.005
0.00030000000000000003,(0.9999749187576975-0.0015473766676836161j),0.005
0.0004,(0.9999660268737782-0.0020631524433483367j),0.005
0.0005,(0.999956869265338-0.0025789197673002657j),0.005
0.0006000000000000001,(0.9999474459387256-0.003094678502586097j),0.005
0.0007,(0.9999377569003479-0.0036104285122583652j),0.005
0.0008,(0.9999278021566942-0.0041261696593728j),0.005
0.0009000000000000001,(0.999917581714317-0.004641901806989859j),0.005
0.001,(0.9999070955798373-0.0051576248181744245j),0.005
0.0011,(0.9998963437599522-0.005673338555996332j),0.005
0.0012000000000000001,(0.999885326261429-0.006189042883529167j),0.005
0.0013000000000000002,(0.9998740430910991-0.006704737663850719j),0.005
0.0014,(0.999862494255875-0.007220422760044245j),0.005
0.0015,(0.9998506797627239-0.007736098035197415j),0.005
0.0016,(0.9998385996187058-0.008251763352402153j),0.005
0.0017000000000000001,(0.9998262538309312-0.008767418574755343j),0.005
0.0018000000000000002,(0.9998136424065875-0.009283063565357963j),0.005
0.0019,(0.9998007653529322-0.009798698187316258j),0.005
0.002,(0.9997876226772997-0.010314322303741777j),0.005
0.0021000000000000003,(0.9997742143870918-0.01082993577774973j),0.005
0.0022,(0.9997605404897741-0.011345538472460864j),0.005
0.0023,(0.9997466009928858-0.01186113025100104j),0.005
0.0024000000000000002,(0.9997323959040406-0.01237671097650049j),0.005
0.0025,(0.9997179252309238-0.012892280512094087j),0.005
0.0026000000000000003,(0.9997031889812836-0.013407838720922853j),0.005
0.0027,(0.9996881871629404-0.013923385466131357j),0.005
0.0028,(0.9996729197837961-0.014438920610871117j),0.005
0.0029000000000000002,(0.9996573868518063-0.014954444018296771j),0.005
0.003,(0.999641588375007-0.015469955551568994j),0.005
0.0031000000000000003,(0.9996255243615023-0.015985455073854484j),0.005
0.0032,(0.9996091948194682-0.01650094244832298j),0.005
0.0033,(0.9995925997571515-0.017016417538151713j),0.005
0.0034000000000000002,(0.9995757391828682-0.01753188020652196j),0.005
0.0035,(0.9995586131050053-0.018047330316620556j),0.005
0.0036000000000000003,(0.9995412215320136-0.018562767731639514j),0.005
0.0037,(0.9995235644724288-0.01907819231477704j),0.005
0.0038,(0.9995056419348411-0.01959360392923528j),0.005
0.0039000000000000003,(0.9994874539279209-0.02010900243822365j),0.005
0.004,(0.9994690004604118-0.020624387704954915j),0.005
