t,signal,gamma
0.0,(1.0000000000000018+5.681219383824043e-16j),0.002
0.0001,(0.9999967623389283-0.0005011421201222303j),0.002
0.0002,(0.9999932735299744-0.0010022810300918728j),0.002
0.00030000000000000003,(0.999989533575549-0.0015034166040587176j),0.002
0.0004,(0.9999855424781386-0.0020045487161741435j),0.002
0.0005,(0.9999813002402974-0.0025056772405919175j),0.002
0.0006000000000000001,(0.9999768068646273-0.0030068020514671372j),0.002
0.0007,(0.9999720623538114-0.0035079230229565312j),0.002
0.0008,(0.9999670667105801-0.004009040029218877j),0.002
0.0009000000000000001,(0.999961819937737-0.004510152944414069j),0.002
0.001,(0.9999563220381396-0.005011261642704852j),0.002
0.0011,(0.999950573014723-0.005512365998255044j),0.002
0.0012000000000000001,(0.9999445728704707-0.0060134658852302484j),0.002
0.0013000000000000002,(0.9999383216084408-0.006514561177798122j),0.002
0.0014,(0.9999318192317395-0.007015651750128753j),0.002
0.0015,(0.9999250657435544-0.007516737476393545j),0.002
0.0016,(0.999918061147123-0.008017818230766216j),0.002
0.0017000000000000001,(0.9999108054457481-0.008518893887422075j),0.002
0.0018000000000000002,(0.999903298642797-0.00901996432053887j),0.002
0.0019,(0.9998955407417044-0.009521029404296487j),0.002
0.002,(0.9998875317459628-0.010022089012876885j),0.002
0.0021000000000000003,(0.9998792716591265-0.010523143020464275j),0.002
0.0022,(0.9998707604848212-0.011024191301244712j),0.002
0.0023,(0.9998619982267254-0.011525233729406531j),0.002
0.0024000000000000002,(0.999852984888582-0.012026270179140614j),0.002
0.0025,(0.9998437204742057-0.012527300524639967j),0.002
0.0026000000000000003,(0.9998342049874639-0.01302832464009953j),0.002
0.0027,(0.9998244384322937-0.013529342399717563j),0.002
0.0028,(0.9998144208126956-0.014030353677693275j),0.002
0.0029000000000000002,(0.9998041521327268-0.0145313583482296j),0.002
0.003,(0.9997936323965126-0.01503235628553101j),0.002
0.0031000000000000003,(0.9997828616082406-0.015533347363805163j),0.002
0.0032,(0.9997718397721602-0.0160343314572615j),0.002
0.0033,(0.9997605668925895-0.016535308440112282j),0.002
0.0034000000000000002,(0.9997490429738954-0.017036278186572752j),0.002
0.0035,(0.999737268020521-0.017537240570860108j),0.002
0.0036000000000000003,(0.9997252420369768-0.018038195467194658j),0.002
0.0037,(0.9997129650278135-0.0185391427497988j),0.002
0.0038,(0.9997004369976721-0.019040082292898084j),0.002
0.0039000000000000003,(0.9996876579512368-0.01954101397072088j),0.002
0.004,(0.9996746278932627-0.02004193765749756j),0.002
0.0041,(0.9996613468285704-0.02054285322746239j),0.002
0.004200000000000001,(0.9996478147620368-0.021043760554851517j),0.002
0.0043,(0.9996340316986079-0.021544659513904208j),0.002
0.0044,(0.9996199976432907-0.022045549978862846j),0.002
0.0045000000000000005,(0.9996057126011525-0.022546431823972493j),0.002
0.0046,(0.9995911765773247-0.023047304923481175j),0.002
0.0047,(0.9995763895770041-0.023548169151640094j),0.002
0.0048000000000000004,(0.9995613516054516-0.024049024382702892j),0.002
0.0049,(0.9995460626679844-0.024549870490926943j),0.002
0.005,(0.9995305227699892-0.025050707350572087j),0.002
0.0051,(0.9995147319169104-0.02555153483590176j),0.002
0.005200000000000001,(0.9994986901142674-0.026052352821182376j),0.002
0.0053,(0.9994823973676215-0.02655316118068318j),0.002
0.0054,(0.9994658536826174-0.027053959788677064j),0.002
0.0055000000000000005,(0.9994490590649533-0.027554748519439756j),0.002
0.0056,(0.9994320135203877-0.028055527247250862j),0.002
0.0057,(0.9994147170547543-0.028556295846392327j),0.002
0.0058000000000000005,(0.9993971696739293-0.02905705419115016j),0.002
0.0059,(0.9993793713838764-0.029557802155813433j),0.002
0.006,(0.9993613221905991-0.030058539614674428j),0.002
0.0061,(0.9993430221001829-0.030559266442029817j),0.002
0.006200000000000001,(0.9993244711187674-0.031059982512178022j),0.002
0.0063,(0.999305669252547-0.0315606876994226j),0.002
0.0064,(0.9992866165078007-0.03206138187806934j),0.002
0.006500000000000001,(0.9992673128908504-0.03256206492242846j),0.002
0.0066,(0.9992477584080887-0.03306273670681352j),0.002
0.0067,(0.9992279530659699-0.033563397105541244j),0.002
0.0068000000000000005,(0.9992078968710166-0.034064045992932494j),0.002
0.006900000000000001,(0.9991875898298046-0.034564683243311564j),0.002
