t,signal,gamma
0.0,(0.9999999999999987-2.990229591715021e-16j),0.02
0.0001,(0.9999709887660256-0.0005148676368626662j),0.02
0.0002,(0.9999417126319216-0.0010297051072164015j),0.02
0.00030000000000000003,(0.9999121716210574-0.001544512274917878j),0.02
0.0004,(0.9998823657568904-0.0020592890038415457j),0.02
0.0005,(0.9998522950629423-0.00257403515787796j),0.02
0.0006000000000000001,(0.9998219595627972-0.0030887506009341223j),0.02
0.0007,(0.9997913592801163-0.003603435196932823j),0.02
0.0008,(0.9997604942386283-0.004118088809812966j),0.02
0.0009000000000000001,(0.9997293644621259-0.004632711303529645j),0.02
0.001,(0.9996979699744898-0.0051473025420553115j),0.02
0.0011,(0.9996663107996502-0.0056618623893777j),0.02
0.0012000000000000001,(0.9996343869616025-0.0061763907095016704j),0.02
0.0013000000000000002,(0.9996021984844385-0.0066908873664474474j),0.02
0.0014,(0.9995697453922965-0.0072053522242527795j),0.02
0.0015,(0.9995370277093908-0.007719785146972135j),0.02
0.0016,(0.9995040454600144-0.00823418599867522j),0.02
0.0017000000000000001,(0.9994707986685126-0.008748554643449305j),0.02
0.0018000000000000002,(0.9994372873593063-0.009262890945397688j),0.02
0.0019,(0.9994035115568937-0.009777194768640671j),0.02
0.002,(0.9993694712858375-0.010291465977316039j),0.02
0.0021000000000000003,(0.9993351665707666-0.010805704435576472j),0.02
0.0022,(0.9993005974363852-0.011319910007592623j),0.02
0.0023,(0.9992657639074588-0.011834082557552058j),0.02
0.0024000000000000002,(0.9992306660088328-0.012348221949658338j),0.02
0.0025,(0.9991953037654083-0.012862328048132785j),0.02
0.0026000000000000003,(0.9991596772021709-0.01337640071721271j),0.02
0.0027,(0.9991237863441699-0.013890439821153296j),0.02
0.0028,(0.9990876312165166-0.014404445224225649j),0.02
0.0029000000000000002,(0.9990512118443987-0.014918416790718935j),0.02
0.003,(0.999014528253073-0.015432354384938299j),0.02
0.0031000000000000003,(0.99897758046786-0.01594625787120691j),0.02
0.0032,(0.9989403685141665-0.016460127113864617j),0.02
0.0033,(0.9989028924174423-0.016973961977268116j),0.02
0.0034000000000000002,(0.9988651522032262-0.017487762325791724j),0.02
0.0035,(0.9988271478971207-0.01800152802382685j),0.02
0.0036000000000000003,(0.9987888795248039-0.01851525893578186j),0.02
0.0037,(0.9987503471120012-0.019028954926083218j),0.02
0.0038,(0.9987115506845334-0.019542615859173433j),0.02
0.0039000000000000003,(0.9986724902682734-0.020056241599513823j),0.02
0.004,(0.9986331658891713-0.020569832011581638j),0.02
0.0041,(0.9985935775732485-0.021083386959872632j),0.02
