t,signal,gamma
0.0,(0.9999999999999987-2.990229591715021e-16j),0.05
0.0001,(0.9999276730445325-0.0005135400900231938j),0.05
0.0002,(0.9998550860972932-0.001027005177257978j),0.05
0.00030000000000000003,(0.999782239216129-0.0015403951321988339j),0.05
0.0004,(0.9997091324589339-0.0020537098253817733j),0.05
0.0005,(0.9996357658836774-0.0025669491273822564j),0.05
0.0006000000000000001,(0.9995621395483798-0.0030801129088154078j),0.05
0.0007,(0.9994882535111305-0.0035932010403351934j),0.05
0.0008,(0.9994141078300847-0.004106213392635736j),0.05
0.0009000000000000001,(0.9993397025634455-0.0046191498364504865j),0.05
0.001,(0.9992650377695033-0.005132010242553968j),0.05
0.0011,(0.9991901135065826-0.005644794481758158j),0.05
0.0012000000000000001,(0.9991149298330951-0.006157502424916547j),0.05
0.0013000000000000002,(0.9990394868074963-0.006670133942921759j),0.05
0.0014,(0.9989637844883182-0.007182688906706048j),0.05
0.0015,(0.9988878229341407-0.007695167187242169j),0.05
0.0016,(0.9988116022036253-0.008207568655542057j),0.05
0.0017000000000000001,(0.9987351223554712-0.008719893182657805j),0.05
0.0018000000000000002,(0.9986583834484671-0.00923214063968129j),0.05
0.0019,(0.9985813855414453-0.009744310897744204j),0.05
0.002,(0.9985041286933031-0.010256403828019673j),0.05
0.0021000000000000003,(0.9984266129630051-0.010768419301718563j),0.05
0.0022,(0.9983488384095733-0.011280357190093682j),0.05
0.0023,(0.9982708050920975-0.011792217364436853j),0.05
0.0024000000000000002,(0.9981925130697236-0.01230399969608046j),0.05
0.0025,(0.9981139624016641-0.012815704056396503j),0.05
0.0026000000000000003,(0.9980351531471934-0.013327330316797871j),0.05
0.0027,(0.9979560853656432-0.013838878348737302j),0.05
0.0028,(0.9978767591164153-0.014350348023707365j),0.05
0.0029000000000000002,(0.997797174458959-0.014861739213241477j),0.05
0.003,(0.9977173314528086-0.0153730517889132j),0.05
0.0031000000000000003,(0.9976372301575331-0.015884285622336125j),0.05
0.0032,(0.9975568706327902-0.016395440585164508j),0.05
0.0033,(0.9974762529382827-0.016906516549093j),0.05
0.0034000000000000002,(0.997395377133777-0.01741751338585633j),0.05
0.0035,(0.9973142432791023-0.01792843096722992j),0.05
0.0036000000000000003,(0.9972328514341615-0.018439269165029203j),0.05
0.0037,(0.9971512016588956-0.01895002785111092j),0.05
0.0038,(0.9970692940133301-0.019460706897371643j),0.05
0.0039000000000000003,(0.9969871285575448-0.019971306175748875j),0.05
0.004,(0.9969047053516753-0.02048182555822011j),0.05
0.0041,(0.996822024455919-0.020992264916804296j),0.05
0.004200000000000001,(0.9967390859305473-0.02150262412356042j),0.05
0.0043,(0.9966558898358839-0.022012903050588412j),0.05
0.0044,(0.9965724362323122-0.02252310157002857j),0.05
0.0045000000000000005,(0.9964887251802804-0.023033219554061537j),0.05
0.0046,(0.9964047567403048-0.02354325687491032j),0.05
0.0047,(0.9963205309729518-0.02405321340483735j),0.05
0.0048000000000000004,(0.9962360479388556-0.024563089016145873j),0.05
0.0049,(0.9961513076987097-0.025072883581180486j),0.05
0.005,(0.9960663103132743-0.02558259697232641j),0.05
0.0051,(0.9959810558433683-0.026092229062009847j),0.05
0.005200000000000001,(0.9958955443498599-0.026601779722697762j),0.05
0.0053,(0.9958097758936942-0.027111248826897968j),0.05
0.0054,(0.995723750535885-0.02762063624715974j),0.05
0.0055000000000000005,(0.9956374683374851-0.028129941856073155j),0.05
0.0056,(0.9955509293596184-0.028639165526268745j),0.05
0.0057,(0.9954641336634756-0.02914830713041942j),0.05
0.0058000000000000005,(0.9953770813103012-0.029657366541237674j),0.05
0.0059,(0.9952897723614067-0.03016634363147795j),0.05
0.006,(0.9952022068781576-0.030675238273935878j),0.05
0.0061,(0.995114384921989-0.031184050341448426j),0.05
0.006200000000000001,(0.9950263065543943-0.0316927797068928j),0.05
0.0063,(0.9949379718369249-0.03220142624318874j),0.05
0.0064,(0.9948493808311901-0.032709989823296204j),0.05
0.006500000000000001,(0.9947605335988785-0.03321847032021698j),0.05
0.0066,(0.9946714302017181-0.03372686760699427j),0.05
0.0067,(0.9945820707015088-0.03423518155671217j),0.05
0.0068000000000000005,(0.9944924551601094-0.03474341204249636j),0.05
0.006900000000000001,(0.9944025836394377-0.03525155893751425j),0.05
0.007,(0.9943124562014832-0.03575962211497448j),0.05
0.0071,(0.9942220729082802-0.036267601448126775j),0.05
0.007200000000000001,(0.9941314338219323-0.03677549681026281j),0.05
0.0073,(0.9940405390046054-0.03728330807471602j),0.05
0.0074,(0.9939493885185242-0.03779103511486087j),0.05
0.007500000000000001,(0.9938579824259752-0.03829867780411354j),0.05
0.0076,(0.9937663207893029-0.03880623601593155j),0.05
0.0077,(0.9936744036709191-0.03931370962381521j),0.05
0.0078000000000000005,(0.993582231133286-0.039821098501304664j),0.05
0.0079,(0.9934898032389342-0.040328402521983324j),0.05
0.008,(0.9933971200504547-0.04083562155947573j),0.05
0.0081,(0.9933041816305017-0.04134275548744831j),0.05
0.0082,(0.9932109880417761-0.041849804179608784j),0.05
0.0083,(0.9931175393470588-0.04235676750970771j),0.05
0.008400000000000001,(0.9930238356091813-0.04286364535153637j),0.05
0.0085,(0.9929298768910353-0.04337043757892859j),0.05
0.0086,(0.9928356632555678-0.04387714406575978j),0.05
0.008700000000000001,(0.9927411947657996-0.04438376468594782j),0.05
0.0088,(0.992646471484805-0.04489029931345154j),0.05
0.0089,(0.9925514934757247-0.04539674782227266j),0.05
0.009000000000000001,(0.9924562608017444-0.04590311008645457j),0.05
0.0091,(0.9923607735261208-0.04640938598008246j),0.05
0.0092,(0.9922650317121752-0.04691557537728438j),0.05
0.009300000000000001,(0.9921690354232832-0.04742167815222952j),0.05
0.0094,(0.9920727847228814-0.047927694179129815j),0.05
0.0095,(0.9919762796744719-0.04843362333223909j),0.05
0.009600000000000001,(0.9918795203416069-0.04893946548585353j),0.05
0.0097,(0.9917825067879042-0.04944522051431142j),0.05
0.0098,(0.991685239077042-0.04995088829199305j),0.05
0.0099,(0.9915877172727658-0.05045646869332144j),0.05
0.01,(0.9914899414388717-0.05096196159276185j),0.05
0.010100000000000001,(0.9913919116392107-0.05146736686482106j),0.05
0.0102,(0.9912936279377151-0.05197268438404943j),0.05
0.0103,(0.9911950903983587-0.05247791402503865j),0.05
0.010400000000000001,(0.9910962990851766-0.052983055662423624j),0.05
0.0105,(0.9909972540622763-0.053488109170881266j),0.05
0.0106,(0.9908979553938118-0.05399307442513084j),0.05
0.010700000000000001,(0.9907984031440062-0.054497951299934365j),0.05
0.0108,(0.9906985973771324-0.05500273967009652j),0.05
0.0109,(0.9905985381575401-0.0555074394104637j),0.05
0.011000000000000001,(0.9904982255496216-0.05601205039592605j),0.05
0.0111,(0.9903976596178422-0.05651657250141565j),0.05
0.0112,(0.9902968404267168-0.0570210056019071j),0.05
0.011300000000000001,(0.9901957680408253-0.057525349572418116j),0.05
0.0114,(0.9900944425248133-0.05802960428800859j),0.05
0.0115,(0.9899928639433676-0.05853376962378189j),0.05
0.011600000000000001,(0.9898910323612577-0.05903784545488286j),0.05
0.0117,(0.9897889478433006-0.059541831656500385j),0.05
0.0118,(0.9896866104543676-0.06004572810386575j),0.05
0.0119,(0.9895840202594048-0.06054953467225272j),0.05
0.012,(0.9894811773234061-0.06105325123697796j),0.05
0.012100000000000001,(0.9893780817114313-0.06155687767340178j),0.05
0.0122,(0.9892747334885944-0.06206041385692634j),0.05
0.0123,(0.9891711327200766-0.06256385966299757j),0.05
0.012400000000000001,(0.9890672794711096-0.06306721496710396j),0.05
0.0125,(0.9889631738069931-0.06357047964477679j),0.05
0.0126,(0.9888588157930726-0.06407365357159106j),0.05
0.012700000000000001,(0.988754205494781-0.06457673662316415j),0.05
0.0128,(0.9886493429775696-0.06507972867515695j),0.05
0.0129,(0.9885442283069964-0.06558262960327312j),0.05
0.013000000000000001,(0.9884388615486381-0.06608543928325952j),0.05
0.0131,(0.9883332427681485-0.06658815759090635j),0.05
0.0132,(0.9882273720312442-0.06709078440204723j),0.05
0.013300000000000001,(0.9881212494036998-0.06759331959255803j),0.05
0.0134,(0.9880148749513369-0.06809576303835901j),0.05
0.0135,(0.9879082487400525-0.06859811461541317j),0.05
0.013600000000000001,(0.9878013708357911-0.0691003741997264j),0.05
0.0137,(0.987694241304563-0.06960254166734921j),0.05
0.013800000000000002,(0.9875868602124362-0.07010461689437357j),0.05
0.013900000000000001,(0.9874792276255412-0.0706065997569367j),0.05
0.014,(0.9873713436100582-0.07110849013121791j),0.05
0.014100000000000001,(0.9872632082322292-0.07161028789344076j),0.05
0.0142,(0.9871548215583688-0.07211199291987187j),0.05
