gamma,noisy,first_order,second_order
0.0001,-87.92304171223105,-87.92735986945128,-87.92735420836729
0.0002,-87.91872355501245,-87.92737683375456,-87.9273542348914
0.0005,-87.90573516988962,-87.92749506944054,-87.92735467702673
0.001,-87.88397527033871,-87.92791389137737,-87.92735797176158
0.002,-87.84003664930005,-87.92956291340144,-87.92738416694226
0.005,-87.70493767139635,-87.94060091851613,-87.92781649045259
0.01,-87.46927442427551,-87.97666993856346,-87.93100556723192
0.02,-86.96187890998705,-88.09601016537746,-87.95532602497426
0.03,-86.41239879984093,-88.24775222027105,-88.01172253046951
0.05,-85.214191778979,-88.28521440974346,-89.02620277962313
0.1,-82.14316914821454,-87.67515949932957,-90.60779520257134
