gamma,noisy,first_order,second_order
0.0001,-71.81308050920313,-71.817043098705,-71.81704241119027
0.0002,-71.80911791970114,-71.8170451624783,-71.81704240950083
0.0005,-71.79722602269857,-71.81705964089615,-71.81704238232794
0.001,-71.77739240450089,-71.8171115561373,-71.81704218939035
0.002,-71.73767325286406,-71.81732067147757,-71.81704080606741
0.005,-71.61809682111183,-71.81880652403848,-71.81702512728907
0.01,-71.41738711818519,-71.8241834489649,-71.81699927520631
0.02,-71.01059078740548,-71.84532228976647,-71.81774915751117
0.03,-70.59667167775565,-71.87863534052244,-71.82045478030642
0.05,-69.74845285233579,-71.97791146541105,-71.82730447682857
0.1,-67.51899423926052,-72.32886470322723,-72.01028880566648
