gamma,noisy,first_order,second_order
0.0001,-6.34604156755401,-6.3460996461721955,-6.346099666577121
0.0002,-6.345983488936241,-6.346099584970996,-6.346099666556828
0.0005,-6.3458093754695275,-6.346099157040655,-6.346099666153343
0.001,-6.3455195938984,-6.346097631838883,-6.346099663165653
0.002,-6.344941555957917,-6.3460915549082975,-6.346099639321686
0.005,-6.343219582387493,-6.34604947789127,-6.346099243512178
0.01,-6.340389686883716,-6.345902274998635,-6.346096320480623
0.02,-6.334877098768797,-6.3453365276140525,-6.346073512256908
0.03,-6.329555261266507,-6.34444063331197,-6.346013465624015
0.05,-6.319457956608737,-6.341801738749603,-6.345719661047561
0.1,-6.297114174467871,-6.331739587635802,-6.343433272440329
