gamma,noisy,first_order,second_order
0.0001,-65.50957681074716,-65.52818043658732,-65.52818108615418
0.0002,-65.490973184907,-65.52817849017556,-65.52818108294497
0.0005,-65.43516619836821,-65.52816492813068,-65.52818102866911
0.001,-65.34216746860574,-65.52811692003314,-65.52818061630776
0.002,-65.15621801717833,-65.52792824236577,-65.52817721669493
0.005,-64.59874504725317,-65.52667667295216,-65.52811556041186
0.01,-63.67081342155403,-65.52272272017811,-65.5275949837559
0.02,-61.81890412293091,-65.51136142401029,-65.52300060150645
0.03,-59.971220575204825,-65.50143378792104,-65.51225936345926
0.05,-56.283361543349805,-65.49432809562278,-65.49607138031647
0.1,-47.07239499107725,-65.40663267328554,-65.58955471069397
