gamma,noisy,first_order,second_order
0.0001,-4.945523570537657,-4.944688038612518,-4.944688022857939
0.0002,-4.946359102462796,-4.944688085872047,-4.94468802286597
0.0005,-4.948865603719557,-4.9446884166016,-4.944688022937955
0.001,-4.953042790837514,-4.944689597205947,-4.94468802348597
0.002,-4.96139598446908,-4.94469431519938,-4.94468802789625
0.005,-4.986446131895097,-4.944727255436895,-4.944688101680823
0.01,-5.028165008352738,-4.944844322227909,-4.94468865410089
0.02,-5.111485694477425,-4.9453081648703545,-4.944693082735901
0.03,-5.194651344548184,-4.946071945040975,-4.944705131809474
0.05,-5.360522600712327,-4.948468760145999,-4.944767499170206
0.1,-5.772576441279207,-4.959172826362271,-4.945327808124251
