gamma,noisy,first_order,second_order
0.0001,-29.20304620972259,-29.203200773677832,-29.203200860045797
0.0002,-29.202891645766933,-29.203200514717793,-29.203200859885243
0.0005,-29.202428471742664,-29.20319870483605,-29.20320085743694
0.001,-29.201658238649415,-29.203192260521877,-29.20320083847551
0.002,-29.200124216776945,-29.203166639075754,-29.203200679363363
0.005,-29.195573301027835,-29.202990613267833,-29.203197658336776
0.01,-29.188155988787837,-29.202388320720758,-29.2031701390668
0.02,-29.173923656854917,-29.200241868273167,-29.202873557975465
0.03,-29.160435589931847,-29.197383565535517,-29.20183383080719
0.05,-29.13532945768517,-29.193067201039565,-29.19482545106743
0.1,-29.077591714331053,-29.240605693315043,-29.120571990417858
