gamma,noisy,first_order,second_order
0.0001,-81.52647200671687,-81.51967921146073,-81.51967491377957
0.0002,-81.53326480197394,-81.51969209503902,-81.5196749270649
0.0005,-81.5536174281945,-81.51978202018007,-81.51967515186018
0.001,-81.58745283620895,-81.52010140466564,-81.51967686860371
0.002,-81.65480426775295,-81.52136491882163,-81.51969111890423
0.005,-81.85433981066564,-81.52991908635775,-81.51994954195376
0.01,-82.17876053497386,-81.55834834714963,-81.52204955237869
0.02,-82.79917272279786,-81.65496940934526,-81.53910655357129
0.03,-83.38575723649598,-81.78220861125514,-81.58041305797317
0.05,-84.47655346757777,-82.0552305128713,-81.73239898781341
0.1,-86.89787642228475,-85.31232037361633,-73.92277226368458
