gamma,noisy,first_order,second_order
0.0001,-8.099084344146387,-8.100633193371335,-8.100633184723797
0.0002,-8.097535494921717,-8.100633219336077,-8.100633184662726
0.0005,-8.092888895286796,-8.100633402151958,-8.10063318375073
0.001,-8.08514438842108,-8.100634062229776,-8.10063317691818
0.002,-8.069654714612106,-8.10063675723669,-8.10063312228733
0.005,-8.023180272003616,-8.10065667858874,-8.100632216928439
0.01,-7.945703865418492,-8.100734843125199,-8.100625549427296
0.02,-7.790672887711785,-8.10109993885078,-8.100573836854714
0.03,-7.635525124892073,-8.101814564759225,-8.100438837264594
0.05,-7.324820673911328,-8.104608708960484,-8.09978996170716
0.1,-6.5450326388628675,-8.122620181364624,-8.095087969755935
