gamma,noisy,first_order,second_order
0.0001,-19.602054314562356,-19.601198429790987,-19.601198243084227
0.0002,-19.602910199333724,-19.601198990144955,-19.60119824280912
0.0005,-19.60547673278215,-19.601202918124038,-19.60119823802176
0.001,-19.609750547440264,-19.60121698390512,-19.601198202350453
0.002,-19.61828411097541,-19.601273532854933,-19.601197916234234
0.005,-19.643771540046814,-19.60167494708181,-19.601193116225247
0.01,-19.685868133013205,-19.60314606580137,-19.60115728532493
0.02,-19.768590200225326,-19.60931243376506,-19.60088040038704
0.03,-19.84928308762828,-19.620143651834088,-19.600194527901472
0.05,-20.004270491348592,-19.657085234774996,-19.597581657692317
0.1,-20.351455747922188,-19.675551743445805,-20.08836239454108
