gamma,noisy,first_order,second_order
0.0001,-36.719081667364414,-36.730141751628516,-36.73014654663119
0.0002,-36.708021583101285,-36.730127377562745,-36.730146531280525
0.0005,-36.67487006965742,-36.73002705807119,-36.73014627376048
0.001,-36.61971308124399,-36.72967079191315,-36.730144338309344
0.002,-36.50975537057405,-36.728261289997356,-36.73012871337713
0.005,-36.182692276487785,-36.71870224230247,-36.72986167138353
0.01,-35.646682310672524,-36.686683886930574,-36.7278063121545
0.02,-34.606680734412805,-36.575298421600216,-36.71099410792843
0.03,-33.60540993002893,-36.42458874561118,-36.66621394397616
0.05,-31.69987507190655,-39.899764212853874,-44.893641442554056
0.1,-23.499985930959227,-36.46027277590034,-38.16471268802024
