gamma,noisy,first_order,second_order
0.0001,-36.93923775446691,-36.94007347079377,-36.94007369639861
0.0002,-36.93840203813787,-36.9400727950363,-36.940073694866484
0.0005,-36.93589623979343,-36.94006809429604,-36.94007366957037
0.001,-36.93172438529226,-36.94005150221045,-36.94007348293054
0.002,-36.92339726837204,-36.939986605537456,-36.94007202827599
0.005,-36.89854489018644,-36.939559475001325,-36.940049417397745
0.01,-36.857530305371306,-36.93819968558286,-36.939899364422644
0.02,-36.776860925159596,-36.933851683458826,-36.93887931093934
0.03,-36.69773709257591,-36.9286752600535,-36.9362417753192
0.05,-36.5429851137364,-36.92353631946154,-36.92000195064868
0.1,-36.16243390801126,-37.05905623792137,-36.74924049366058
