gamma,noisy,first_order,second_order
0.0001,-110.05979934423861,-110.07924875236608,-110.07925894389706
0.0002,-110.04034993611114,-110.07921824524323,-110.07925884933854
0.0005,-109.98206267182589,-110.07900654501897,-110.07925724974086
0.001,-109.8851187986328,-110.07826310947793,-110.0792450452393
0.002,-109.69197448778768,-110.07538891328032,-110.07914402571453
0.005,-109.1182313884294,-110.05731114295227,-110.0773421349287
0.01,-108.1791516339062,-110.00707434226535,-110.06360393115892
0.02,-106.35122892554647,-109.90467578786486,-109.97694194040884
0.03,-104.56547222531978,-109.8706706760916,-109.85010953196786
0.05,-101.03227676733002,-113.80908734470252,-121.2095858400817
0.1,-88.255466189998,-101.54241602691317,-112.27150699312728
