gamma,noisy,first_order,second_order
0.0001,8.3374523654088,8.337575931309058,8.33757588576914
0.0002,8.337328799509095,8.337576067974,8.337575885716063
0.0005,8.336957828447973,8.337577025681504,8.3375758848135
0.001,8.336338631214167,8.337580453096871,8.337575878099617
0.002,8.335096809333137,8.337594215877155,8.337575825403135
0.005,8.331343788266455,8.337691550859638,8.337574988492008
0.01,8.324996025673272,8.33804538780992,8.337569311837012
0.02,8.311946663536624,8.339501263351407,8.337532648724167
0.03,8.298415440456528,8.341993320279965,8.33746014234153
0.05,8.269868231908577,8.35015472002764,8.337300372359465
0.1,8.189581743789795,8.387625975051867,8.339673849447134
