gamma,noisy,first_order,second_order
0.0001,-6.082290193574127,-6.081179838693364,-6.081179830354834
0.0002,-6.08340054845489,-6.0811798637164385,-6.081179830366782
0.0005,-6.0867315630560075,-6.081180038759144,-6.081179830434856
0.001,-6.092283087352869,-6.081180663264902,-6.081179831074163
0.002,-6.103385511440003,-6.081183156202216,-6.081179836147172
0.005,-6.1366878007221395,-6.081200508500609,-6.081179920516089
0.01,-6.19217509294367,-6.081261824676079,-6.0811805461457595
0.02,-6.303088361210287,-6.081502132151004,-6.0811854647483194
0.03,-6.413921059165268,-6.08189245950372,-6.081198523156679
0.05,-6.635350336725155,-6.083091563626891,-6.0812632186892905
0.1,-7.187609109824392,-6.088197370630461,-6.08177833842856
