gamma,noisy,first_order,second_order
0.0001,-62.930708758107095,-62.942782760622315,-62.94278631862991
0.0002,-62.91863475559048,-62.94277208873507,-62.942786315609396
0.0005,-62.8824340900455,-62.94269744967706,-62.94278625654539
0.001,-62.82217073041394,-62.94243140830024,-62.942785699218916
0.002,-62.70191005252764,-62.94137266620112,-62.94277951415626
0.005,-62.34324150726452,-62.93413013118853,-62.942602657245914
0.01,-61.752352883340144,-62.910084195623405,-62.94053484168455
0.02,-60.59462157105682,-62.833643973639255,-62.91911157567205
0.03,-59.46442691951162,-62.74957342755701,-62.86590728579401
0.05,-57.26220747164637,-67.27297666825237,-48.794691436672196
0.1,-47.251438275085974,-56.38773917115747,-55.85445213900577
