gamma,noisy,first_order,second_order
0.0001,55.8475270116078,55.846815946977415,55.84681540635225
0.0002,55.84823807623819,55.84681757133489,55.84681540287011
0.0005,55.850368019427144,55.84682900920582,55.8468153451191
0.001,55.85390702964847,55.84687030678441,55.84681491904942
0.002,55.860943752512526,55.84703885408107,55.84681160349521
0.005,55.88171495826503,55.84828015692399,55.84676077215974
0.01,55.91514975960607,55.853074799223634,55.846444553396566
0.02,55.9772247199885,55.87423749255547,55.84488742025951
0.03,56.032387092740514,55.91166231483392,55.84329004981794
0.05,56.12047518502581,56.03175943113797,55.84728924883413
0.1,56.20919093891365,56.54490840376863,55.896289745904596
