gamma,noisy,first_order,second_order
0.0001,-116.80759278440125,-116.83095740534553,-116.83096202709754
0.0002,-116.78422816345697,-116.83094361244676,-116.83096192582354
0.0005,-116.71416182856771,-116.83084902930584,-116.83096023359025
0.001,-116.59747462782958,-116.83052444976016,-116.83094759114192
0.002,-116.364424805899,-116.82932699211416,-116.83084700334587
0.005,-115.66761303004435,-116.82286025224502,-116.8292331014299
0.01,-114.51236580784459,-116.81142826267624,-116.81896027320403
0.02,-112.21330335301477,-116.8266210495294,-116.77533680037561
0.03,-109.9130550359013,-116.90155225679906,-116.7543650866566
0.05,-105.27020035716701,-117.09316325745188,-116.89832205388302
0.1,-93.4472374568823,-117.05105829799655,-117.5558806988694
