gamma,noisy,first_order,second_order
0.0001,-91.42830780141885,-91.44548401930506,-91.44549148425247
0.0002,-91.41113158353265,-91.44546167471029,-91.4454914138511
0.0005,-91.35964757879181,-91.44530663555207,-91.44549022899366
0.001,-91.27398852203136,-91.44476224273376,-91.44548126323224
0.002,-91.10321480132846,-91.442657187623,-91.44540814870618
0.005,-90.59506164928695,-91.42937026637469,-91.4441477271821
0.01,-89.76075303219959,-91.39173802240948,-91.43485833677406
0.02,-88.12976804198833,-91.30786437883893,-91.3756497144899
0.03,-86.53224670660654,-91.26491632907106,-91.2807732080872
0.05,-83.37645832901632,-91.31800773729341,-91.171113818923
0.1,-75.43490892073922,-88.89053674534004,-124.19001667047192
