gamma,noisy,first_order,second_order
0.0001,-17.077607893071598,-17.081133792950173,-17.081133900340667
0.0002,-17.074081993193023,-17.081133470801877,-17.08113390024438
0.0005,-17.06350493778933,-17.08113121789432,-17.08113389842783
0.001,-17.045878657684337,-17.081123185836237,-17.08113388503449
0.002,-17.010634129532438,-17.081091163988564,-17.08113377930168
0.005,-16.904964528764275,-17.08086901950741,-17.08113208324245
0.01,-16.72906003802114,-17.080088348485532,-17.081120384545038
0.02,-16.378031727556746,-17.07705047246104,-17.08104265448832
0.03,-16.028023332350635,-17.072128725499816,-17.080883551360763
0.05,-15.330982617030244,-17.05681184121925,-17.080481967453792
0.1,-13.605153392841236,-16.984951524957967,-17.082663532337243
