gamma,noisy,first_order,second_order
0.0001,104.5964270441685,104.62759421508109,104.62760009161815
0.0002,104.5652598732559,104.62757664069892,104.62760001432122
0.0005,104.4717934651355,104.62745511943565,104.62759872600196
0.001,104.31613181083536,104.62703115383346,104.62758914249588
0.002,104.00523246783726,104.62541146719862,104.62751337508314
0.005,103.07573079795122,104.61551115817345,104.62630287709129
0.01,101.5359504377295,104.58903457329278,104.61832020111177
0.02,98.4828663021665,104.53519931509032,104.57593769075146
0.03,95.45160749874645,104.50848333732925,104.52181831013957
0.05,89.41272887894627,104.51879770795044,104.47861219385177
0.1,74.3066600499419,104.55437342768505,104.5816934739014
