gamma,noisy,first_order,second_order
0.0001,-52.70858338450522,-52.718709157373965,-52.718710051618984
0.0002,-52.69845761163647,-52.71870647710928,-52.71871004816089
0.0005,-52.66808565160113,-52.718687781745786,-52.718709991116555
0.001,-52.6174835214571,-52.71862145542298,-52.71870956985677
0.002,-52.516345587490264,-52.71835947321409,-52.71870628457688
0.005,-52.21345389665989,-52.71658678145908,-52.71865546810304
0.01,-51.71032101186027,-52.71062336500255,-52.71832712180202
0.02,-50.71001865871789,-52.689066616272356,-52.71625102493499
0.03,-49.71709662885777,-52.65723876242549,-52.71113322655978
0.05,-47.75110517242169,-52.57691312087305,-52.681305841570094
0.1,-42.92529722397016,-58.440644521472606,-48.357439606715744
