gamma,noisy,first_order,second_order
0.0001,-16.354045691075513,-16.353597503878397,-16.353597482856685
0.0002,-16.354493878272628,-16.353597566436818,-16.353597483566134
0.0005,-16.35583831514028,-16.353597990877365,-16.353597495101333
0.001,-16.358078639403193,-16.353599416824643,-16.353597580788012
0.002,-16.362557861981742,-16.353604441971804,-16.353598254035603
0.005,-16.375985860739487,-16.35362690944404,-16.353608933188163
0.01,-16.398344812036047,-16.353627893134,-16.353681373269126
0.02,-16.443061730939494,-16.353112523796643,-16.354153667703812
0.03,-16.487906191523074,-16.351394552298665,-16.355122724085746
0.05,-16.57848545515139,-16.343132921860978,-16.357868556136715
0.1,-16.81383798844348,-16.299209994252504,-16.351734359650337
