gamma,noisy,first_order,second_order
0.0001,-45.92258073454835,-45.9355559637894,-45.93555665357448
0.0002,-45.909605505308164,-45.935553895224245,-45.935556652476265
0.0005,-45.87068395408669,-45.935539436908705,-45.93555663366162
0.001,-45.80582847126392,-45.935487950542466,-45.93555648686086
0.002,-45.67616899198532,-45.93528323036356,-45.93555522101187
0.005,-45.28759924620631,-45.93387746340819,-45.935529960122636
0.01,-44.641321029005226,-45.92908164910871,-45.935293405159285
0.02,-43.35356040890198,-45.91209095905829,-45.93289433740544
0.03,-42.07169471153047,-45.88910601517612,-45.92571069459332
0.05,-39.52281336000817,-45.842251767782,-45.89247808284284
0.1,-33.20337495223491,-45.803778003702725,-45.77666374221951
