gamma,noisy,first_order,second_order
0.0001,-16.032199610155363,-16.035184829779922,-16.035184915403477
0.0002,-16.029214390531635,-16.035184572956656,-16.035184915332707
0.0005,-16.02025924525222,-16.035182777148666,-16.035184913592786
0.001,-16.00533571335355,-16.035176376946666,-16.035184900744184
0.002,-15.975495049761545,-16.03515087948491,-16.035184796981127
0.005,-15.886023994329673,-16.03497444297044,-16.035183017316072
0.01,-15.737073545688904,-16.034358524341066,-16.03516917593572
0.02,-15.439788567036741,-16.03200916376216,-16.03505229022951
0.03,-15.143297877863686,-16.028343468634098,-16.03472353928526
0.05,-14.55256441298677,-16.017905960269402,-16.033023217885763
0.1,-13.087222865706352,-15.982265805028566,-16.020150250611387
