gamma,noisy,first_order,second_order
0.0001,-25.74072170418431,-25.737428844616648,-25.737428317597733
0.0002,-25.74401456375197,-25.73743042477433,-25.737428318838425
0.0005,-25.753889982851558,-25.73744146165262,-25.737428339663964
0.001,-25.770338504051463,-25.737480716599613,-25.73742849499081
0.002,-25.803196291504015,-25.73763649706482,-25.737429731637732
0.005,-25.901458797912525,-25.738703119983867,-25.737450112436562
0.01,-26.064214475842707,-25.74235545972558,-25.737598536239688
0.02,-26.3860734919597,-25.755813519073985,-25.738720511395584
0.03,-26.703340104363193,-25.775985330087302,-25.74154152048638
0.05,-27.32535641322745,-25.83040033326133,-25.75406064383955
0.1,-28.820312493195647,-26.002096513980675,-25.82501563669271
