gamma,noisy,first_order,second_order
0.0001,-26.901588774394746,-26.904703294807813,-26.9047038681054
0.0002,-26.898474253983203,-26.90470157691105,-26.904703865269312
0.0005,-26.889134126919085,-26.904689606618113,-26.90470381800165
0.001,-26.87357864721949,-26.904647224542583,-26.904703465247238
0.002,-26.84251006989695,-26.904480511851897,-26.904700654888657
0.005,-26.749636160801046,-26.903367733248942,-26.904654297104656
0.01,-26.59590458835315,-26.899750511438025,-26.90431716277145
0.02,-26.292058665268275,-26.887880919836185,-26.90180005678191
0.03,-25.99240764586598,-26.873092723982424,-26.895649196666525
0.05,-25.402878966975813,-26.846919790943012,-26.870486502959082
0.1,-23.958838143006414,-29.106249313679577,-20.048166967957293
