gamma,noisy,first_order,second_order
0.0001,21.19075085362305,21.19090936303949,21.19090936807315
0.0002,21.19059234420661,21.190909348359625,21.190909367530097
0.0005,21.190116845010795,21.190909256044808,21.190909358504634
0.001,21.189324433973457,21.19090899694326,21.19090929083761
0.002,21.187739871005604,21.19090850413228,21.19090874548528
0.005,21.182986854977024,21.19091576992149,21.190899446157083
0.01,21.17505794003256,21.191015659149997,21.190827672627734
0.02,21.15910022091512,21.192004987006488,21.190226570371465
0.03,21.14287013994548,21.194935819741943,21.188543325508334
0.05,21.108899745327893,21.210902794653222,21.179911868539477
0.1,21.006896696002563,21.211567430410756,21.149379406149485
