gamma,noisy,first_order,second_order
0.0001,160.53862766360518,160.5930902287865,160.59313743746895
0.0002,160.48416509842215,160.59294923536376,160.59313655249025
0.0005,160.32105888488746,160.59197937988623,160.59312190776023
0.001,160.05013838989257,160.58862900154244,160.5930142343771
0.002,159.51164777823914,160.5760742791668,160.59217880605274
0.005,157.92081479855116,160.50367039190172,160.57938961705753
0.01,155.33795920520168,160.33421014561821,160.5036920751587
0.02,150.3417082647853,160.07513077244556,160.22258416805505
0.03,145.45656533650336,156.71299048523878,151.5013128509275
0.05,138.41556021732288,159.2860858837285,160.2871592406994
0.1,117.54503455091726,200.4479694989967,272.0154503420165
