gamma,noisy,first_order,second_order
0.0001,-213.8754445266179,-213.92003697168278,-213.9200547640312
0.0002,-213.83085208155305,-213.91998408218512,-213.92005408114653
0.0005,-213.69718013444702,-213.919627197287,-213.920042554073
0.001,-213.47473307160703,-213.9184434403215,-213.91995503189423
0.002,-213.03102270289256,-213.91441694575462,-213.9192407746982
0.005,-211.7075345301196,-213.90007195301195,-213.9075266993749
0.01,-209.51499710722726,-213.92854356444766,-213.84328344200435
0.02,-205.10145065000685,-214.29688148628577,-213.77432222762786
0.03,-200.56905513920105,-214.8062238073471,-214.12419529349586
0.05,-191.14664987944923,-214.7382717590074,-216.92546656222123
0.1,-167.55502799989532,-222.20252952079147,-213.7100285883996
