gamma,noisy,first_order,second_order
0.0001,-51.21578915070928,-51.22250561897106,-51.22250634344235
0.0002,-51.20907268244782,-51.22250345188197,-51.22250633459788
0.0005,-51.18892760678508,-51.222488454014275,-51.22250618696012
0.001,-51.15536675955588,-51.222436041678115,-51.222505086755945
0.002,-51.08829747743365,-51.222235159768466,-51.222496346846754
0.005,-50.887486418270825,-51.22099679780202,-51.22235338616133
0.01,-50.55397603873963,-51.21766507882302,-51.22133162253198
0.02,-49.89028699865624,-51.21201339765362,-51.21408394746166
0.03,-49.2291649804325,-51.21620932184679,-51.19826656313475
0.05,-47.90669820232021,-51.273436492968145,-51.157305441790655
0.1,-44.53995991167227,-51.5429403825807,-51.3436866948354
