gamma,noisy,first_order,second_order
0.0001,-61.5882425369634,-61.59459525342602,-61.594596235638875
0.0002,-61.581889820501466,-61.59459231656878,-61.59459622193498
0.0005,-61.562837536997414,-61.59457202466363,-61.59459599316523
0.001,-61.5311030493312,-61.59450133855653,-61.59459428723238
0.002,-61.46770476010587,-61.59423219211802,-61.59458073067751
0.005,-61.27804046788192,-61.59260792372469,-61.594360033599656
0.01,-60.963473012037085,-61.58847028671593,-61.59282303074093
0.02,-60.33847573735787,-61.5829188868417,-61.58292288556299
0.03,-59.71625366277377,-61.59089505359444,-61.56453759603659
0.05,-58.469666725140165,-61.661167405641834,-61.52837359591652
0.1,-55.27816604463753,-61.999614407223326,-61.65966883503671
