gamma,noisy,first_order,second_order
0.0001,-4.742599102074988,-4.743059857586062,-4.743059870657294
0.0002,-4.742138346563638,-4.743059818394604,-4.7430598706484055
0.0005,-4.740756158409877,-4.743059544143425,-4.743059870581808
0.001,-4.73845277267633,-4.743058565182232,-4.743059870088043
0.002,-4.733846980170427,-4.743054653313147,-4.743059866119303
0.005,-4.720037424120701,-4.743027347699247,-4.743059799184488
0.01,-4.697047500543131,-4.7429303551532636,-4.743059290677065
0.02,-4.6511646459331395,-4.742546520073435,-4.743055102527787
0.03,-4.605410136056059,-4.741915724126255,-4.743043363978391
0.05,-4.514281326689041,-4.7399444728789755,-4.742979884577002
0.1,-4.28861818049966,-4.731271687014753,-4.742361712080983
