gamma,noisy,first_order,second_order
0.0001,-53.01731831508409,-53.03032023362796,-53.030323178175706
0.0002,-53.00431639654022,-53.03031140821089,-53.030323166663635
0.0005,-52.965328285159444,-53.03024985459355,-53.03032297322895
0.001,-52.900406715724245,-53.0300315395649,-53.0303215128983
0.002,-52.77078189188345,-53.029170076471814,-53.03030962552785
0.005,-52.383623498916805,-53.02337657110947,-53.03010216270653
0.01,-51.743870426724136,-53.00435991800269,-53.028459794217895
0.02,-50.48338093544558,-52.941826948564675,-53.01472670115959
0.03,-49.24504545981391,-52.865885918121926,-52.97887905350754
0.05,-46.81919260764003,-53.2418381236727,-51.34519090416674
0.1,-40.39654709161066,-53.592642179217776,-75.87221939051604
