gamma,noisy,first_order,second_order
0.0001,-76.04203054632067,-76.06464527989391,-76.06464863573552
0.0002,-76.01941581274744,-76.06463523308415,-76.06464860679705
0.0005,-75.95159168912053,-76.06456546651039,-76.0646481248626
0.001,-75.83861791173068,-76.06432005207954,-76.06464454575098
0.002,-75.61291577138182,-76.06336680393575,-76.06461631720529
0.005,-74.93769983361531,-76.05722902446466,-76.06416572421185
0.01,-73.81817064276395,-76.03864814722007,-76.06112415038316
0.02,-71.5976931383074,-75.98551060597012,-76.04247833466576
0.03,-69.39666343838829,-75.92908359560677,-76.00833915244121
0.05,-65.03338335298538,-75.8443759201966,-75.91113897863474
0.1,-54.222390785775694,-75.87880573196543,-75.7156152938586
