gamma,noisy,first_order,second_order
0.0001,-11.935943095272112,-11.936654394203485,-11.936654281778054
0.0002,-11.935231796340176,-11.936654731401227,-11.936654281898608
0.0005,-11.9330972252174,-11.93665708965296,-11.936654283666261
0.001,-11.929537360781842,-11.936665498061199,-11.936654297016542
0.002,-11.922409223502484,-11.93669902472609,-11.936654404180292
0.005,-11.900957819684956,-11.93693161695503,-11.936656214493674
0.01,-11.864984022414882,-11.937748016494762,-11.936670001805435
0.02,-11.792220028335002,-11.940901316503313,-11.936783852030693
0.03,-11.718394067310202,-11.945914098318434,-11.937102841497278
0.05,-11.567687395174922,-11.960676812969032,-11.938810651214261
0.1,-11.17469797738082,-12.01517996665506,-11.95428012313453
