gamma,noisy,first_order,second_order
0.0001,-104.5964270441688,-104.62759421508181,-104.62760009161747
0.0002,-104.5652598732558,-104.62757664069889,-104.62760001431883
0.0005,-104.47179346513548,-104.62745511943562,-104.62759872599906
0.001,-104.31613181083533,-104.6270311538334,-104.62758914249451
0.002,-104.00523246783726,-104.6254114671984,-104.6275133750845
0.005,-103.07573079795125,-104.61551115817338,-104.62630287709214
0.01,-101.5359504377296,-104.58903457329335,-104.61832020110734
0.02,-98.48286630216616,-104.53519931508986,-104.57593769075103
0.03,-95.45160749874674,-104.50848333733032,-104.52181831014016
0.05,-89.41272887894641,-104.51879770795072,-104.47861219385032
0.1,-74.30666004994191,-104.55437342768577,-104.58169347389935
