gamma,noisy,first_order,second_order
0.0001,-69.49390643073427,-69.50472912841,-69.5047304479989
0.0002,-69.48308373305967,-69.50472519186552,-69.50473041688088
0.0005,-69.45062349536879,-69.50469823748183,-69.50472990178588
0.001,-69.39654875325581,-69.50460595755177,-69.50472611990662
0.002,-69.28849154896065,-69.50426647904551,-69.50469697116245
0.005,-68.96498254837658,-69.50242183901081,-69.50426351505453
0.01,-68.42754325774347,-69.4988137316669,-69.50174516979484
0.02,-67.35627278381907,-69.49882356501226,-69.49160481102513
0.03,-66.28589973746958,-69.51051333551457,-69.48637533066287
0.05,-64.13879442862053,-69.5370119409161,-69.52010732730565
0.1,-58.74057691632465,-69.5134008954433,-69.5516922895805
