gamma,noisy,first_order,second_order
0.0001,-36.9764992319696,-36.97897510294817,-36.97897558050886
0.0002,-36.974023360991026,-36.97897367146766,-36.97897557882909
0.0005,-36.96659861005153,-36.978963683988965,-36.978975550514335
0.001,-36.95423353611576,-36.978928235326265,-36.97897533933461
0.002,-36.9295388369046,-36.97878812737214,-36.97897365483567
0.005,-36.85573399374237,-36.97784001130735,-36.978945611392476
0.01,-36.733627976177466,-36.974673712760904,-36.97873424846165
0.02,-36.49258223959319,-36.963745177109246,-36.976954216094
0.03,-36.255349640961235,-36.94941971559867,-36.971736795902075
0.05,-35.790251570625465,-36.92490746245841,-36.94306712118414
0.1,-34.65559567879366,-38.70461570881791,-31.70294354522784
