gamma,noisy,first_order,second_order
0.0001,-11.617782842726967,-11.62111927692234,-11.621119328528984
0.0002,-11.614446408530753,-11.621119122159229,-11.621119328474531
0.0005,-11.604437415451622,-11.621118039462525,-11.621119327934888
0.001,-11.58775679144017,-11.621114176979406,-11.621119323846212
0.002,-11.554399405902032,-11.621098759861908,-11.621119290963502
0.005,-11.45435806470407,-11.620991482406993,-11.621118735926675
0.01,-11.287724647002257,-11.62061272472326,-11.621114516727925
0.02,-10.954836569281538,-11.619131963391034,-11.621079856472182
0.03,-10.622445385590806,-11.616737616529118,-11.620983488855234
0.05,-9.959113842987012,-11.609458612286799,-11.620474775688955
0.1,-8.308769073687504,-11.579653497502443,-11.615968682891786
