gamma,noisy,first_order,second_order
0.0001,-66.78833809135693,-66.80833832263116,-66.80834446513708
0.0002,-66.76833786008349,-66.80831993131078,-66.80834441444969
0.0005,-66.7083739199454,-66.80819217617487,-66.80834356832409
0.001,-66.60855566371724,-66.80774251078424,-66.8083372566966
0.002,-66.40936881664932,-66.80599418489714,-66.80828705208165
0.005,-65.8152763299502,-66.79472003339772,-66.80746621574494
0.01,-64.83583262650238,-66.76067381447032,-66.80169271846046
0.02,-62.91099143853577,-66.66611288639268,-66.76404926357515
0.03,-61.02118866745772,-66.57392564673708,-66.69446497611148
0.05,-57.30689210553878,-62.095193313571166,-79.61632119022528
0.1,-52.51859089748851,-80.46473507181383,-104.32965983801951
