gamma,noisy,first_order,second_order
0.0001,103.75093439682722,103.77917113240058,103.77919049205065
0.0002,103.72269766125237,103.7791131898237,103.77919030111201
0.0005,103.63810323054096,103.7787113056723,103.779187103109
0.001,103.49749515540962,103.77730104153255,103.77916310675482
0.002,103.2176892692867,103.7718524496365,103.77897030509257
0.005,102.38905850805125,103.73745738295311,103.77575799825502
0.01,101.04065963314939,103.63904792147711,103.75309471271532
0.02,98.44227134482166,103.40315317108262,103.61634628001963
0.03,95.93518129307274,103.6958223488988,102.00715200402479
0.05,91.2293506877469,96.55140821474929,139.96018462955146
0.1,85.90729316074695,133.1527032000772,187.79457618978657
