gamma,noisy,first_order,second_order
0.0001,-57.00090387140071,-57.00676654326318,-57.00676643848007
0.0002,-56.995041199538235,-57.00676685865749,-57.00676643703764
0.0005,-56.9774525523357,-57.00676909471377,-57.00676641248231
0.001,-56.9481360099583,-57.006777275271524,-57.006766223857085
0.002,-56.889494744644416,-57.00681155190162,-57.00676463292797
0.005,-56.71350146299306,-57.00708501513484,-57.006733962379116
0.01,-56.41991791085166,-57.00833265268706,-57.00644904696361
0.02,-55.83150316901616,-57.01600592959574,-57.003481724887706
0.03,-55.24081731431479,-57.0353501184841,-56.99474156315449
0.05,-54.049121967105684,-57.12478376043,-56.96620833091367
0.1,-50.97346017377986,-57.356261602729894,-56.97503676693512
