gamma,noisy,first_order,second_order
0.0001,-60.03435620500495,-60.03869672465577,-60.038699236367904
0.0002,-60.03001568535412,-60.038689195867626,-60.03869922746844
0.0005,-60.01700917887096,-60.03863667001967,-60.03869907436655
0.001,-59.99538168772299,-60.03845030775235,-60.03869786967823
0.002,-59.95231306769518,-60.03771499574898,-60.03868733778074
0.005,-59.82457157339354,-60.03279775225145,-60.03847286797972
0.01,-59.616345394536424,-60.01714519203903,-60.03647153536039
0.02,-59.21554559703237,-59.9722795102887,-60.01782719348006
0.03,-58.83148518000363,-59.93527799946958,-59.97110478704161
0.05,-58.09236824172825,-59.954844304754225,-59.83152504635248
0.1,-56.229892178701995,-61.000765726518026,-53.77057956689947
