gamma,noisy,first_order,second_order
0.0001,90.18488822053686,90.19823129925702,90.19823555439746
0.0002,90.17154514181682,90.19821859073949,90.19823547473919
0.0005,90.13154127720557,90.19813117495731,90.19823414927836
0.001,90.06495137945741,90.19782928591603,90.1982243217752
0.002,89.93207347300135,90.196699559571,90.19814714012477
0.005,89.53565553624512,90.19023973149085,90.1969387965166
0.01,88.88107134099938,90.17585998790241,90.18927240280112
0.02,87.58628269409635,90.16618735589665,90.15224694212944
0.03,86.2980729149196,90.1997506691814,90.11753265151168
0.05,83.70623982494908,90.32389087284648,90.17738812650646
0.1,77.08858877705146,90.41312871990735,90.49857533834216
