gamma,noisy,first_order,second_order
0.0001,24.20869006781393,24.208126815812232,24.20812685164927
0.0002,24.209253319815627,24.20812670927627,24.208126850298797
0.0005,24.210943288106694,24.208125990352908,24.20812682715976
0.001,24.21376058586048,24.20812360354582,24.20812665406379
0.002,24.219397568175143,24.208115443083297,24.208125265698484
0.005,24.2363240417654,24.208085391073976,24.208101913197453
0.01,24.264562692456824,24.2081613770865,24.207925880696834
0.02,24.320964007827147,24.209876654134316,24.20651484145627
0.03,24.376927911257493,24.21566307518228,24.20276088706528
0.05,24.48593595679815,24.213689184410075,24.288477008143715
0.1,24.758182729181772,24.24219811731706,24.173743810453814
