gamma,noisy,first_order,second_order
0.0001,-34.36896183367642,-34.37370646132761,-34.37370674271142
0.0002,-34.364217206025025,-34.37370561719384,-34.373706742675864
0.0005,-34.34998501131313,-34.37369970909634,-34.37370674187186
0.001,-34.32627031352992,-34.373678615970015,-34.37370673416615
0.002,-34.27886201108982,-34.37359432010745,-34.37370664560382
0.005,-34.136805637473806,-34.37300677642157,-34.37370392319664
0.01,-33.90060449852726,-34.37093855985259,-34.37366789632658
0.02,-33.430270437202516,-34.36307679456046,-34.37316190309156
0.03,-32.962606619957015,-34.351287993162984,-34.371182180910765
0.05,-32.03464839789383,-34.32304519171872,-34.35728328815307
0.1,-29.74625160406895,-34.30890922623233,-34.24626490734646
