gamma,noisy,first_order,second_order
0.0001,-25.94992647477419,-25.954924974342386,-25.954925556083765
0.0002,-25.944927975205562,-25.95492323029454,-25.9549255544286
0.0005,-25.929935963640713,-25.954911054443055,-25.954925526430387
0.001,-25.904960872837556,-25.95486778836154,-25.954925316398032
0.002,-25.855053957314265,-25.954696410674707,-25.954923624673427
0.005,-25.70567499627134,-25.95352997214071,-25.954894832327255
0.01,-25.45782002040185,-25.949592527724842,-25.95467358887464
0.02,-24.96604751307696,-25.935646030557976,-25.952849559932673
0.03,-24.479097813165577,-25.916221532258543,-25.947918909745226
0.05,-23.517578346573757,-25.872163812996437,-25.92540016433294
0.1,-21.162992880151076,-25.790187808342193,-25.848742059969886
