gamma,noisy,first_order,second_order
0.0001,-39.620247322526204,-39.62089213297257,-39.62089217530276
0.0002,-39.6196025120797,-39.62089200689423,-39.620892174017
0.0005,-39.61766833215892,-39.62089114906787,-39.620892152921556
0.001,-39.614445515250445,-39.62088824759336,-39.62089199985317
0.002,-39.60800278290683,-39.62087782638358,-39.62089084684226
0.005,-39.588694789033624,-39.62082516078495,-39.62087482670246
0.01,-39.5565644172829,-39.620740015184936,-39.62079387130707
0.02,-39.49238881938115,-39.6207908076673,-39.62058225695752
0.03,-39.42821389407724,-39.62102920873661,-39.620651577044896
0.05,-39.29970978806988,-39.62250318088751,-39.61825914707991
0.1,-38.97691639525225,-39.73190270713125,-39.443615245964935
